,File Name,1,0,,,
99,acc-tight4.mps.gz-r4,1.67,1.48,1,1,2
100,acc-tight5.mps.gz-r0,1.46,1.41,1,1,2
101,acc-tight5.mps.gz-r1,1.39,1.39,1,1,2
102,acc-tight5.mps.gz-r2,1.43,1.45,1,1,2
103,acc-tight5.mps.gz-r3,1.43,1.37,1,1,2
104,acc-tight5.mps.gz-r4,1.29,1.34,1,1,2
105,aflow30a.mps.gz-r0,3.31,4.1,1,1,2
106,aflow30a.mps.gz-r1,3.68,4.59,1,1,2
107,aflow30a.mps.gz-r2,5.05,5.45,1,1,2
108,aflow30a.mps.gz-r3,3.62,4.81,1,1,2
109,aflow30a.mps.gz-r4,3.79,5.29,1,1,2
110,aflow40b.mps.gz-r0,38.04,90.68,1,1,2
111,aflow40b.mps.gz-r1,45.13,100.58,1,1,2
112,aflow40b.mps.gz-r2,45.73,121.76,1,1,2
113,aflow40b.mps.gz-r3,62.57,56.52,1,1,2
114,aflow40b.mps.gz-r4,44.75,97.03,1,1,2
115,air03.mps.gz-r0,1.07,1.02,1,1,2
116,air03.mps.gz-r1,1.05,1.05,1,1,2
117,air03.mps.gz-r2,1.05,1.06,1,1,2
118,air03.mps.gz-r3,1.07,1.03,1,1,2
119,air03.mps.gz-r4,1.08,1.03,1,1,2
120,air04.mps.gz-r0,10.19,10.12,1,1,2
121,air04.mps.gz-r1,13.28,13.04,1,1,2
122,air04.mps.gz-r2,7.9,7.9,1,1,2
123,air04.mps.gz-r3,12.43,11.68,1,1,2
124,air04.mps.gz-r4,11.79,11.29,1,1,2
125,air05.mps.gz-r0,5.68,5.42,1,1,2
126,air05.mps.gz-r1,5.5,4.76,1,1,2
127,air05.mps.gz-r2,7.07,5.98,1,1,2
128,air05.mps.gz-r3,6.49,5.5,1,1,2
129,air05.mps.gz-r4,6.97,5.86,1,1,2
130,aligninq.mps.gz-r0,2.12,2,1,1,2
131,aligninq.mps.gz-r1,2.08,2.2,1,1,2
132,aligninq.mps.gz-r2,2.03,2.06,1,1,2
133,aligninq.mps.gz-r3,2.15,2.2,1,1,2
134,aligninq.mps.gz-r4,2.34,2.88,1,1,2
135,amaze22012-03-15i.mps.gz-r0,52.04,47.23,1,1,2
136,amaze22012-03-15i.mps.gz-r1,78.12,194.04,1,1,2
137,amaze22012-03-15i.mps.gz-r2,129.18,33.19,1,1,2
138,amaze22012-03-15i.mps.gz-r3,30.01,35.64,1,1,2
139,amaze22012-03-15i.mps.gz-r4,727.78,84.09,1,1,2
140,app1-1.mps.gz-r0,3.5,3.58,1,1,2
141,app1-1.mps.gz-r1,3.54,3.67,1,1,2
142,app1-1.mps.gz-r2,3.67,3.74,1,1,2
143,app1-1.mps.gz-r3,3.53,3.55,1,1,2
144,app1-1.mps.gz-r4,3.49,3.38,1,1,2
145,app1-2.mps.gz-r0,70.75,104.95,1,1,2
146,app1-2.mps.gz-r1,101.07,102.59,1,1,2
147,app1-2.mps.gz-r2,92.4,96.36,1,1,2
148,app1-2.mps.gz-r3,115.89,95.69,1,1,2
149,app1-2.mps.gz-r4,87.58,82.35,1,1,2
150,app2-1.mps.gz-r0,0.42,0.42,1,1,2
151,app2-1.mps.gz-r1,0.37,0.34,1,1,2
152,app2-1.mps.gz-r2,0.45,0.43,1,1,2
153,app2-1.mps.gz-r3,0.39,0.43,1,1,2
154,app2-1.mps.gz-r4,0.44,0.45,1,1,2
155,app2-2.mps.gz-r0,0.19,0.28,1,1,2
156,app2-2.mps.gz-r1,0.31,0.31,1,1,2
157,app2-2.mps.gz-r2,0.39,0.4,1,1,2
158,app2-2.mps.gz-r3,0.23,0.24,1,1,2
159,app2-2.mps.gz-r4,0.21,0.21,1,1,2
160,app3.mps.gz-r0,2.13,2.44,1,1,2
161,app3.mps.gz-r1,1.94,2.68,1,1,2
162,app3.mps.gz-r2,2.92,3.16,1,1,2
163,app3.mps.gz-r3,2.44,2.18,1,1,2
164,app3.mps.gz-r4,2.55,2.5,1,1,2
165,arki001.mps.gz-r0,64.04,63.34,1,1,2
166,arki001.mps.gz-r1,46.63,43.85,1,1,2
167,arki001.mps.gz-r2,58.37,31,1,1,2
168,arki001.mps.gz-r3,72.9,69.96,1,1,2
169,arki001.mps.gz-r4,54.52,35.27,1,1,2
170,assign1-5-8.mps.gz-r0,2538.18,2288.94,1,1,2
171,assign1-5-8.mps.gz-r1,2421.69,2234.18,1,1,2
172,assign1-5-8.mps.gz-r2,1739.06,1727.59,1,1,2
173,assign1-5-8.mps.gz-r3,1905.19,1764.34,1,1,2
174,assign1-5-8.mps.gz-r4,1345.56,2323.27,1,1,2
175,atlanta-ip.mps.gz-r0,268.45,229.9,1,1,2
176,atlanta-ip.mps.gz-r1,280.49,257.26,1,1,2
177,atlanta-ip.mps.gz-r2,222.38,188.78,1,1,2
178,atlanta-ip.mps.gz-r3,411.27,279.23,1,1,2
179,atlanta-ip.mps.gz-r4,207.48,301.31,1,1,2
180,australia-abs-cta.mps.gz-r0,4.19,3.61,1,1,2
181,australia-abs-cta.mps.gz-r1,2.92,3.45,1,1,2
182,australia-abs-cta.mps.gz-r2,3.77,3.88,1,1,2
183,australia-abs-cta.mps.gz-r3,3.03,3.62,1,1,2
184,australia-abs-cta.mps.gz-r4,3.29,3.15,1,1,2
185,b-ball.mps.gz-r0,0.06,0.06,1,1,2
186,b-ball.mps.gz-r1,0.06,0.06,1,1,2
187,b-ball.mps.gz-r2,0.06,0.06,1,1,2
188,b-ball.mps.gz-r3,0.01,0.01,1,1,2
189,b-ball.mps.gz-r4,0.06,0.06,1,1,2
190,b1c1s1.mps.gz-r0,1696.3,1863.62,1,1,2
191,b1c1s1.mps.gz-r1,1170.65,1784.73,1,1,2
192,b1c1s1.mps.gz-r2,1440.94,2238.46,1,1,2
193,b1c1s1.mps.gz-r3,1219.5,2245.64,1,1,2
194,b1c1s1.mps.gz-r4,1680.61,2225.68,1,1,2
195,b2c1s1.mps.gz-r0,5974.23,7200,1,0,1
196,b2c1s1.mps.gz-r1,5585.1,7200,1,0,1
197,b2c1s1.mps.gz-r2,5997.58,7200,1,0,1
198,b2c1s1.mps.gz-r3,5787.01,7200,1,0,1
199,b2c1s1.mps.gz-r4,6451.71,7200,1,0,1
200,bab5.mps.gz-r0,44.47,36.08,1,1,2
201,bab5.mps.gz-r1,33.29,30.15,1,1,2
202,bab5.mps.gz-r2,20.14,22.21,1,1,2
203,bab5.mps.gz-r3,57.85,68.96,1,1,2
204,bab5.mps.gz-r4,20.44,19.31,1,1,2
205,bc.mps.gz-r0,63.09,275.46,1,1,2
206,bc.mps.gz-r1,55.9,97.83,1,1,2
207,bc.mps.gz-r2,99.15,231.48,1,1,2
208,bc.mps.gz-r3,63.67,130.43,1,1,2
209,bc.mps.gz-r4,54.64,108.06,1,1,2
210,bc1.mps.gz-r0,10.18,10.04,1,1,2
211,bc1.mps.gz-r1,8.11,6.59,1,1,2
212,bc1.mps.gz-r2,6.87,6.81,1,1,2
213,bc1.mps.gz-r3,9.14,10.75,1,1,2
214,bc1.mps.gz-r4,13.53,11.87,1,1,2
215,beasleyC1.mps.gz-r0,0.17,0.16,1,1,2
216,beasleyC1.mps.gz-r1,0.2,0.2,1,1,2
217,beasleyC1.mps.gz-r2,0.19,0.19,1,1,2
218,beasleyC1.mps.gz-r3,0.18,0.17,1,1,2
219,beasleyC1.mps.gz-r4,0.17,0.17,1,1,2
220,beasleyC2.mps.gz-r0,0.45,0.46,1,1,2
221,beasleyC2.mps.gz-r1,0.41,0.41,1,1,2
222,beasleyC2.mps.gz-r2,0.44,0.44,1,1,2
223,beasleyC2.mps.gz-r3,0.42,0.43,1,1,2
224,beasleyC2.mps.gz-r4,0.42,0.43,1,1,2
225,beasleyC3.mps.gz-r0,1.06,1.09,1,1,2
226,beasleyC3.mps.gz-r1,0.99,1.01,1,1,2
227,beasleyC3.mps.gz-r2,0.84,0.82,1,1,2
228,beasleyC3.mps.gz-r3,1.08,1.13,1,1,2
229,beasleyC3.mps.gz-r4,1.06,1,1,1,2
230,beavma.mps.gz-r0,0.24,0.24,1,1,2
231,beavma.mps.gz-r1,0.25,0.26,1,1,2
232,beavma.mps.gz-r2,0.29,0.29,1,1,2
233,beavma.mps.gz-r3,0.26,0.27,1,1,2
234,beavma.mps.gz-r4,0.27,0.27,1,1,2
235,berlin.mps.gz-r0,1.84,1.91,1,1,2
236,berlin.mps.gz-r1,2.27,2.38,1,1,2
237,berlin.mps.gz-r2,2.18,2.13,1,1,2
238,berlin.mps.gz-r3,2.13,2.2,1,1,2
239,berlin.mps.gz-r4,1.78,1.73,1,1,2
240,berlin_5_8_0.mps.gz-r0,1264.14,7200.03,1,0,1
241,berlin_5_8_0.mps.gz-r1,1843.34,5687.89,1,1,2
242,berlin_5_8_0.mps.gz-r2,1146.7,2234.15,1,1,2
243,berlin_5_8_0.mps.gz-r3,963.45,6035.14,1,1,2
244,berlin_5_8_0.mps.gz-r4,1715.36,2744.84,1,1,2
245,biella1.mps.gz-r0,87.25,106.58,1,1,2
246,biella1.mps.gz-r1,69.63,73.26,1,1,2
247,biella1.mps.gz-r2,83.63,94.91,1,1,2
248,biella1.mps.gz-r3,94.14,95.51,1,1,2
249,biella1.mps.gz-r4,86.07,104.07,1,1,2
250,bienst1.mps.gz-r0,9.4,9.06,1,1,2
251,bienst1.mps.gz-r1,10.01,8.07,1,1,2
252,bienst1.mps.gz-r2,10.94,8.57,1,1,2
253,bienst1.mps.gz-r3,8.19,12.29,1,1,2
254,bienst1.mps.gz-r4,7.23,7.95,1,1,2
255,bienst2.mps.gz-r0,36.9,25.32,1,1,2
256,bienst2.mps.gz-r1,35.22,29.99,1,1,2
257,bienst2.mps.gz-r2,38.57,29.12,1,1,2
258,bienst2.mps.gz-r3,30.13,30.19,1,1,2
259,bienst2.mps.gz-r4,38.15,29.65,1,1,2
260,binkar10_1.mps.gz-r0,1.87,6.35,1,1,2
261,binkar10_1.mps.gz-r1,2.06,8.03,1,1,2
262,binkar10_1.mps.gz-r2,1.94,8.08,1,1,2
263,binkar10_1.mps.gz-r3,1.97,6.27,1,1,2
264,binkar10_1.mps.gz-r4,1.97,7.49,1,1,2
265,blend2.mps.gz-r0,0.42,0.4,1,1,2
266,blend2.mps.gz-r1,0.41,0.4,1,1,2
267,blend2.mps.gz-r2,0.4,0.42,1,1,2
268,blend2.mps.gz-r3,0.39,0.42,1,1,2
269,blend2.mps.gz-r4,0.63,0.34,1,1,2
270,bley_xl1.mps.gz-r0,2.79,2.79,1,1,2
271,bley_xl1.mps.gz-r1,3.22,3.05,1,1,2
272,bley_xl1.mps.gz-r2,2.97,2.93,1,1,2
273,bley_xl1.mps.gz-r3,3.23,3.15,1,1,2
274,bley_xl1.mps.gz-r4,3.08,3.12,1,1,2
275,bley_xs2.mps.gz-r0,143.87,1316.47,1,1,2
276,bley_xs2.mps.gz-r1,211.65,2172.03,1,1,2
277,bley_xs2.mps.gz-r2,168.1,2410.19,1,1,2
278,bley_xs2.mps.gz-r3,165.6,1180.24,1,1,2
279,bley_xs2.mps.gz-r4,145.63,1954.92,1,1,2
280,blp-ar98.mps.gz-r0,165,302.51,1,1,2
281,blp-ar98.mps.gz-r1,177.95,201.49,1,1,2
282,blp-ar98.mps.gz-r2,195.63,227.33,1,1,2
283,blp-ar98.mps.gz-r3,230.82,361.94,1,1,2
284,blp-ar98.mps.gz-r4,205.62,288.88,1,1,2
285,blp-ic97.mps.gz-r0,240.13,1003.81,1,1,2
286,blp-ic97.mps.gz-r1,321.35,867.34,1,1,2
287,blp-ic97.mps.gz-r2,376.3,514.46,1,1,2
288,blp-ic97.mps.gz-r3,242.96,945.09,1,1,2
289,blp-ic97.mps.gz-r4,324.35,579.3,1,1,2
290,blp-ic98.mps.gz-r0,89.34,143.76,1,1,2
291,blp-ic98.mps.gz-r1,118.75,105.97,1,1,2
292,blp-ic98.mps.gz-r2,90.25,118.99,1,1,2
293,blp-ic98.mps.gz-r3,112.77,102.63,1,1,2
294,blp-ic98.mps.gz-r4,84.96,181.5,1,1,2
295,blp-ir98.mps.gz-r0,6.15,7.22,1,1,2
296,blp-ir98.mps.gz-r1,5.9,6.36,1,1,2
297,blp-ir98.mps.gz-r2,5.86,4.67,1,1,2
298,blp-ir98.mps.gz-r3,6.87,5.62,1,1,2
299,blp-ir98.mps.gz-r4,5.26,7.3,1,1,2
300,bmoipr2.mps.gz-r0,3866.56,7200.03,1,0,1
301,bmoipr2.mps.gz-r1,7200.01,7200.01,0,0,0
302,bmoipr2.mps.gz-r2,7200.02,7200.02,0,0,0
303,bmoipr2.mps.gz-r3,7200.02,7200.01,0,0,0
304,bmoipr2.mps.gz-r4,7200.02,7200.03,0,0,0
305,bnatt400.mps.gz-r0,2.1,2.15,1,1,2
306,bnatt400.mps.gz-r1,2.14,2.12,1,1,2
307,bnatt400.mps.gz-r2,2.13,2.1,1,1,2
308,bnatt400.mps.gz-r3,2.1,2.07,1,1,2
309,bnatt400.mps.gz-r4,2.1,2.21,1,1,2
310,bnatt500.mps.gz-r0,5.97,6.09,1,1,2
311,bnatt500.mps.gz-r1,6.08,6.04,1,1,2
312,bnatt500.mps.gz-r2,6.35,6.27,1,1,2
313,bnatt500.mps.gz-r3,6.23,6.14,1,1,2
314,bnatt500.mps.gz-r4,6.13,6.54,1,1,2
315,bppc4-08.mps.gz-r0,7200,7200,0,0,0
316,bppc4-08.mps.gz-r1,7200,7200,0,0,0
317,bppc4-08.mps.gz-r2,4007.8,7200,1,0,1
318,bppc4-08.mps.gz-r3,7200,7200,0,0,0
319,bppc4-08.mps.gz-r4,7200,7200,0,0,0
320,bppc8-02.mps.gz-r0,0.16,0.16,1,1,2
321,bppc8-02.mps.gz-r1,0.16,0.16,1,1,2
322,bppc8-02.mps.gz-r2,0.17,0.17,1,1,2
323,bppc8-02.mps.gz-r3,0.17,0.17,1,1,2
324,bppc8-02.mps.gz-r4,0.19,0.18,1,1,2
325,bppc8-09.mps.gz-r0,228.36,188.34,1,1,2
326,bppc8-09.mps.gz-r1,403.39,310.71,1,1,2
327,bppc8-09.mps.gz-r2,145.86,460.91,1,1,2
328,bppc8-09.mps.gz-r3,163.57,193.85,1,1,2
329,bppc8-09.mps.gz-r4,210.99,223.32,1,1,2
330,brasil.mps.gz-r0,2.65,2.48,1,1,2
331,brasil.mps.gz-r1,2.73,2.71,1,1,2
332,brasil.mps.gz-r2,2.37,2.41,1,1,2
333,brasil.mps.gz-r3,2.97,2.91,1,1,2
334,brasil.mps.gz-r4,2.69,2.8,1,1,2
335,brazil3.mps.gz-r0,104.67,84.54,1,1,2
336,brazil3.mps.gz-r1,201.06,271.11,1,1,2
337,brazil3.mps.gz-r2,340.04,182.39,1,1,2
338,brazil3.mps.gz-r3,290.2,95.91,1,1,2
339,brazil3.mps.gz-r4,310.04,266.45,1,1,2
340,breastcancer-regularized.mps.gz-r0,586.6,506.14,1,1,2
341,breastcancer-regularized.mps.gz-r1,534.54,265.28,1,1,2
342,breastcancer-regularized.mps.gz-r2,354.54,118.56,1,1,2
343,breastcancer-regularized.mps.gz-r3,413.06,332.38,1,1,2
344,breastcancer-regularized.mps.gz-r4,231.17,292.28,1,1,2
345,buildingenergy.mps.gz-r0,417.77,968.92,1,1,2
346,buildingenergy.mps.gz-r1,422.81,975.38,1,1,2
347,buildingenergy.mps.gz-r2,458.33,933.77,1,1,2
348,buildingenergy.mps.gz-r3,463.47,657.22,1,1,2
349,buildingenergy.mps.gz-r4,415.94,502.93,1,1,2
350,cap6000.mps.gz-r0,0.46,0.41,1,1,2
351,cap6000.mps.gz-r1,0.49,0.48,1,1,2
352,cap6000.mps.gz-r2,0.47,0.47,1,1,2
353,cap6000.mps.gz-r3,0.45,0.47,1,1,2
354,cap6000.mps.gz-r4,0.48,0.45,1,1,2
355,cbs-cta.mps.gz-r0,0.4,0.41,1,1,2
356,cbs-cta.mps.gz-r1,0.43,0.4,1,1,2
357,cbs-cta.mps.gz-r2,0.43,0.43,1,1,2
358,cbs-cta.mps.gz-r3,0.4,0.4,1,1,2
359,cbs-cta.mps.gz-r4,0.42,0.43,1,1,2
360,ci-s4.mps.gz-r0,73.26,43.2,1,1,2
361,ci-s4.mps.gz-r1,17.57,42.95,1,1,2
362,ci-s4.mps.gz-r2,44.95,33.73,1,1,2
363,ci-s4.mps.gz-r3,145.9,48.41,1,1,2
364,ci-s4.mps.gz-r4,162.4,40.64,1,1,2
365,cmflsp50-24-10-4.mps.gz-r0,5185.04,5201.33,1,1,2
366,cmflsp50-24-10-4.mps.gz-r1,7200.02,3645.69,0,1,1
367,cmflsp50-24-10-4.mps.gz-r2,6826.85,5551.97,1,1,2
368,cmflsp50-24-10-4.mps.gz-r3,5282.58,4886.88,1,1,2
369,cmflsp50-24-10-4.mps.gz-r4,5786.4,3815.86,1,1,2
370,cmflsp50-24-8-8.mps.gz-r0,1133.86,932.68,1,1,2
371,cmflsp50-24-8-8.mps.gz-r1,2857.79,1041.55,1,1,2
372,cmflsp50-24-8-8.mps.gz-r2,3765.5,1949.36,1,1,2
373,cmflsp50-24-8-8.mps.gz-r3,943.7,1977.57,1,1,2
374,cmflsp50-24-8-8.mps.gz-r4,1624.73,1116.7,1,1,2
375,co-100.mps.gz-r0,188.36,382.38,1,1,2
376,co-100.mps.gz-r1,148.68,625.62,1,1,2
377,co-100.mps.gz-r2,164.25,7200.03,1,0,1
378,co-100.mps.gz-r3,206.7,383.6,1,1,2
379,co-100.mps.gz-r4,160.61,675.53,1,1,2
380,cod105.mps.gz-r0,30.21,30.11,1,1,2
381,cod105.mps.gz-r1,20.25,20.04,1,1,2
382,cod105.mps.gz-r2,16.01,15.68,1,1,2
383,cod105.mps.gz-r3,23.84,23.8,1,1,2
384,cod105.mps.gz-r4,24.91,24.53,1,1,2
385,comp07-2idx.mps.gz-r0,11.65,11.13,1,1,2
386,comp07-2idx.mps.gz-r1,11.39,10.83,1,1,2
387,comp07-2idx.mps.gz-r2,12.68,11.92,1,1,2
388,comp07-2idx.mps.gz-r3,11.9,11.68,1,1,2
389,comp07-2idx.mps.gz-r4,11.24,11.81,1,1,2
390,comp08-2idx.mps.gz-r0,11.64,8.58,1,1,2
391,comp08-2idx.mps.gz-r1,6.56,10.01,1,1,2
