File Name,MipLogLevel-2,RootCutLevel-0,RoundingHeurLevel-0,DivingHeurLevel-0,StrongBranching-0,SubMipHeurLevel-0,RoundingHeurLevel-1,RootCutLevel-1,TreeCutLevel-1,TreeCutLevel-0,StrongBranching-1,SubMipHeurLevel-1,DivingHeurLevel-1
train_600_2_instance_1308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train_600_2_instance_1341,0.02,0.02,0.02,0.02,0.01,0.01,0.02,0.02,0.01,0.02,0.02,0.02,0.02
train_600_2_instance_1743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train_600_2_instance_1816,0.01,0.02,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.02,0.02,0.02,0.02
train_600_2_instance_2204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train_600_2_instance_2749,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
train_600_2_instance_3187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train_600_2_instance_347,0.02,0.02,0.01,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
train_600_2_instance_3548,0.01,0.02,0.02,0.02,0.01,0.01,0.01,0.02,0.01,0.02,0.01,0.01,0.02
train_600_2_instance_783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train_600_4_instance_1044,0.38,0.32,0.34,0.35,0.39,0.31,0.33,0.33,0.39,0.38,0.32,0.34,0.36
train_600_4_instance_1131,1.36,2.09,1.36,1.32,0.79,1.24,1.48,1.35,1.53,1.31,1.32,1.19,1.44
train_600_4_instance_1232,2.13,3.7,2.23,2.13,2.71,2.33,1.99,1.24,1.57,1.89,1.95,2.52,1.98
train_600_4_instance_1271,1.71,1.74,1.69,1.76,1.6,1.89,1.68,1.4,1.48,2.01,1.76,1.96,1.84
train_600_4_instance_1358,0.5,0.61,0.45,0.44,0.38,0.39,0.45,0.48,0.46,0.45,0.44,0.47,0.48
train_600_4_instance_1452,1.44,1.96,1.4,1.52,1.16,1.17,1.32,1.58,2.25,1.36,1.58,1.3,1.35
train_600_4_instance_1477,0.6,1.07,0.59,0.58,0.7,0.57,0.6,0.57,0.67,0.59,0.6,0.55,0.61
train_600_4_instance_149,0.4,0.29,0.42,0.46,0.46,0.41,0.39,0.31,0.22,0.49,0.4,0.48,0.43
train_600_4_instance_1491,0.83,0.81,0.66,0.66,0.79,0.63,0.7,0.43,0.45,0.66,0.65,0.64,0.77
train_600_4_instance_1584,0.78,0.86,0.74,0.74,0.67,0.72,0.88,0.66,0.82,0.95,0.76,0.82,0.91
train_600_4_instance_1618,0.59,1.0,0.59,0.62,0.62,0.64,0.63,0.53,0.96,0.61,0.62,0.57,0.62
train_600_4_instance_162,0.75,1.5,0.82,0.86,0.77,0.84,0.75,0.76,0.85,0.76,0.81,0.77,0.88
train_600_4_instance_164,0.24,0.34,0.23,0.25,0.23,0.2,0.23,0.23,0.23,0.24,0.24,0.23,0.26
train_600_4_instance_1654,1.1,1.34,0.92,1.17,0.83,1.06,0.93,0.95,0.93,1.17,1.11,0.98,0.97
train_600_4_instance_1745,0.45,0.53,0.46,0.41,0.4,0.45,0.45,0.44,0.71,0.52,0.43,0.42,0.41
train_600_4_instance_181,0.51,0.44,0.53,0.59,0.45,0.44,0.63,0.69,0.45,0.51,0.5,0.55,0.53
train_600_4_instance_1820,0.54,1.25,0.52,0.55,0.51,0.47,0.61,0.55,0.56,0.53,0.65,0.49,0.56
train_600_4_instance_1821,1.1,1.5,1.11,1.03,0.79,0.9,1.14,0.94,0.99,1.1,1.1,1.11,0.97
train_600_4_instance_183,0.71,1.34,0.78,0.63,0.54,0.65,0.65,0.51,0.7,0.78,0.83,0.81,0.64
train_600_4_instance_1878,0.53,0.62,0.52,0.52,0.68,0.64,0.64,0.45,0.58,0.52,0.55,0.65,0.54
train_600_4_instance_1941,0.61,0.85,0.68,0.55,0.53,0.53,0.53,0.7,0.77,0.66,0.55,0.57,0.56
train_600_4_instance_1990,2.14,2.92,2.28,2.28,2.09,1.95,2.01,1.72,1.88,2.28,2.08,2.14,2.2
train_600_4_instance_2139,0.6,0.66,0.62,0.6,0.55,0.56,0.62,0.55,0.63,0.6,0.71,0.58,0.66
train_600_4_instance_2156,1.57,2.5,1.85,1.3,1.09,1.47,1.6,0.94,1.26,1.65,1.53,1.58,1.31
train_600_4_instance_2188,0.61,0.77,0.55,0.56,0.47,0.52,0.63,0.63,0.66,0.63,0.55,0.65,0.59
train_600_4_instance_226,0.61,0.84,0.54,0.6,0.5,0.51,0.54,0.53,0.66,0.5,0.63,0.58,0.63
train_600_4_instance_2260,0.94,1.43,0.95,1.11,0.93,0.92,1.19,1.21,1.36,0.94,0.93,1.12,0.96
train_600_4_instance_2362,1.63,2.43,1.73,1.66,1.31,1.82,1.57,1.68,1.91,1.64,1.62,1.58,1.7
train_600_4_instance_2390,0.89,1.48,0.76,0.84,0.65,0.79,0.8,0.8,1.04,0.75,0.77,0.83,0.77
train_600_4_instance_2419,1.12,2.16,1.13,1.17,0.76,1.01,1.16,1.1,1.28,1.11,1.21,1.04,1.26
train_600_4_instance_2467,0.2,0.18,0.16,0.18,0.17,0.15,0.17,0.18,0.19,0.18,0.16,0.17,0.16
train_600_4_instance_2489,0.16,0.14,0.16,0.19,0.15,0.16,0.18,0.18,0.16,0.16,0.18,0.2,0.18
train_600_4_instance_2507,0.97,1.14,0.77,0.8,0.7,0.79,0.81,0.61,0.85,0.81,0.82,0.81,0.83
train_600_4_instance_2520,0.93,1.11,0.94,1.14,0.9,0.84,1.01,0.77,0.97,1.12,0.89,1.12,1.18
train_600_4_instance_2536,0.47,0.46,0.45,0.47,0.44,0.55,0.52,0.37,0.43,0.39,0.4,0.48,0.41
train_600_4_instance_2542,1.82,3.06,2.33,1.94,1.7,2.27,2.17,1.33,1.74,1.8,1.89,1.98,2.05
train_600_4_instance_2550,0.31,0.38,0.22,0.23,0.25,0.2,0.25,0.28,0.25,0.24,0.25,0.2,0.24
train_600_4_instance_2653,0.7,1.45,0.66,0.66,0.65,0.71,0.65,0.67,1.49,0.67,0.66,0.78,0.7
train_600_4_instance_2669,0.84,1.32,0.73,0.73,0.63,0.57,0.79,0.85,1.05,0.73,0.75,0.74,0.85
train_600_4_instance_2707,0.38,0.61,0.35,0.36,0.37,0.34,0.42,0.35,0.47,0.37,0.39,0.35,0.36
train_600_4_instance_276,1.28,1.88,1.13,1.16,0.91,1.31,1.35,1.16,1.0,1.3,1.15,1.34,1.17
train_600_4_instance_2765,0.48,0.74,0.48,0.61,0.51,0.48,0.5,0.41,0.48,0.61,0.58,0.49,0.49
train_600_4_instance_2784,1.83,2.32,1.56,1.56,1.76,1.65,1.86,1.63,2.01,1.92,1.63,1.84,2.1
train_600_4_instance_2787,1.25,2.5,1.31,1.22,1.48,1.17,1.4,1.18,1.53,1.34,1.23,1.14,1.23
train_600_4_instance_2803,0.2,0.19,0.19,0.19,0.19,0.18,0.18,0.19,0.18,0.18,0.19,0.19,0.18
train_600_4_instance_2844,0.54,0.69,0.68,0.68,0.5,0.67,0.52,0.38,0.44,0.61,0.54,0.54,0.56
train_600_4_instance_2896,2.94,3.51,2.56,2.93,2.02,2.26,2.55,1.88,2.1,2.49,2.79,2.39,2.62
train_600_4_instance_2984,1.86,2.75,1.95,1.9,1.94,1.77,1.99,2.3,2.05,1.87,1.85,1.83,1.98
train_600_4_instance_3,0.67,0.61,0.68,0.66,0.61,0.67,0.66,0.54,0.63,0.85,0.77,0.69,0.8
train_600_4_instance_3081,1.02,1.56,1.04,1.27,0.98,1.37,1.06,0.96,1.43,1.02,1.29,1.26,1.01
train_600_4_instance_3095,0.25,0.4,0.19,0.24,0.25,0.21,0.22,0.21,0.22,0.21,0.22,0.2,0.23
train_600_4_instance_3176,1.52,2.12,1.62,1.46,2.56,1.17,1.66,1.74,1.36,1.66,1.65,1.23,1.61
train_600_4_instance_318,0.89,1.57,1.02,0.9,0.51,0.68,0.86,0.67,0.72,0.86,0.89,0.8,0.86
train_600_4_instance_3259,0.5,0.87,0.49,0.48,0.52,0.48,0.48,0.47,0.42,0.47,0.54,0.47,0.47
train_600_4_instance_326,0.42,0.56,0.41,0.39,0.42,0.44,0.4,0.4,0.33,0.5,0.38,0.48,0.42
train_600_4_instance_3272,0.92,1.78,0.9,0.89,0.82,0.74,0.93,0.9,1.05,0.9,0.9,0.91,0.9
train_600_4_instance_3306,0.71,0.81,0.62,0.68,0.63,0.62,0.74,0.64,0.74,0.73,0.61,0.66,0.63
train_600_4_instance_3324,0.4,0.48,0.53,0.41,0.4,0.36,0.55,0.53,0.42,0.41,0.52,0.36,0.45
