File Name,MipLogLevel-2,SubMipHeurLevel-0,SubMipHeurLevel-1,RootCutLevel-0
test_1600r_800c_0.25d_instance_387,3.59,2.16,3.12,3.47
test_1600r_800c_0.25d_instance_399,3.6,2.6,3.25,3.58
test_1600r_800c_0.25d_instance_411,3.35,2.68,2.82,2.76
test_1600r_800c_0.25d_instance_459,4.66,2.5,3.47,4.5
test_1600r_800c_0.25d_instance_470,5.33,3.01,4.06,5.36
test_1600r_800c_0.25d_instance_471,3.06,2.39,2.75,2.82
test_200r_1600c_0.01d_instance_101,0.01,0.01,0.01,0.01
test_200r_1600c_0.01d_instance_186,0.0,0.0,0.0,0.0
test_200r_1600c_0.01d_instance_28,0.02,0.01,0.01,0.02
test_200r_1600c_0.01d_instance_484,0.01,0.01,0.01,0.02
test_200r_1600c_0.01d_instance_96,0.05,0.04,0.04,0.02
test_200r_1600c_0.05d_instance_122,0.18,0.08,0.17,0.15
test_200r_1600c_0.05d_instance_136,0.21,0.16,0.15,0.16
test_200r_1600c_0.05d_instance_244,0.12,0.08,0.08,0.12
test_200r_1600c_0.05d_instance_295,0.3,0.19,0.28,0.3
test_200r_1600c_0.05d_instance_335,0.17,0.09,0.09,0.16
test_200r_1600c_0.05d_instance_346,0.25,0.08,0.1,0.25
test_200r_1600c_0.05d_instance_355,0.19,0.08,0.08,0.23
test_200r_1600c_0.05d_instance_392,0.24,0.1,0.15,0.27
test_200r_1600c_0.05d_instance_445,0.56,0.18,0.36,0.34
test_200r_1600c_0.05d_instance_465,0.15,0.09,0.09,0.15
test_200r_1600c_0.05d_instance_50,0.28,0.15,0.22,0.26
test_200r_1600c_0.05d_instance_500,0.24,0.12,0.11,0.18
test_200r_1600c_0.05d_instance_92,0.38,0.17,0.44,0.32
test_200r_1600c_0.25d_instance_129,0.23,0.09,0.21,0.2
test_200r_1600c_0.25d_instance_19,0.34,0.13,0.24,0.31
test_200r_1600c_0.25d_instance_21,0.27,0.1,0.09,0.26
test_200r_1600c_0.25d_instance_227,0.17,0.09,0.1,0.16
test_200r_1600c_0.25d_instance_261,0.25,0.13,0.24,0.16
test_200r_1600c_0.25d_instance_275,0.17,0.09,0.21,0.16
test_200r_1600c_0.25d_instance_312,0.43,0.17,0.34,0.27
test_200r_1600c_0.25d_instance_362,0.32,0.15,0.2,0.24
test_200r_1600c_0.25d_instance_367,0.27,0.12,0.18,0.25
test_200r_1600c_0.25d_instance_379,0.36,0.14,0.23,0.35
test_200r_1600c_0.25d_instance_435,0.24,0.1,0.12,0.24
test_200r_1600c_0.25d_instance_453,0.35,0.15,0.29,0.3
test_200r_1600c_0.25d_instance_497,0.32,0.07,0.18,0.25
test_200r_1600c_0.25d_instance_56,0.04,0.04,0.04,0.04
test_200r_3200c_0.01d_instance_142,0.01,0.01,0.01,0.01
test_200r_3200c_0.01d_instance_25,0.01,0.01,0.01,0.01
test_200r_3200c_0.01d_instance_360,0.01,0.02,0.02,0.01
test_200r_3200c_0.01d_instance_364,0.0,0.0,0.0,0.0
test_200r_3200c_0.01d_instance_423,0.06,0.04,0.05,0.06
test_200r_3200c_0.01d_instance_475,0.02,0.02,0.02,0.02
test_200r_3200c_0.05d_instance_167,0.15,0.09,0.11,0.16
test_200r_3200c_0.05d_instance_194,0.24,0.13,0.11,0.26
test_200r_3200c_0.05d_instance_229,0.46,0.18,0.37,0.31
test_200r_3200c_0.05d_instance_258,0.22,0.09,0.1,0.21
test_200r_3200c_0.05d_instance_271,0.14,0.09,0.16,0.16
test_200r_3200c_0.05d_instance_331,0.17,0.09,0.13,0.14
test_200r_3200c_0.05d_instance_398,0.24,0.08,0.09,0.21
test_200r_3200c_0.05d_instance_399,0.57,0.18,0.3,0.46
test_200r_3200c_0.05d_instance_462,0.58,0.19,0.34,0.41
test_200r_3200c_0.05d_instance_473,0.22,0.09,0.18,0.16
test_200r_3200c_0.05d_instance_491,0.21,0.09,0.13,0.18
test_200r_3200c_0.05d_instance_492,0.13,0.07,0.07,0.13
test_200r_3200c_0.05d_instance_5,0.22,0.16,0.13,0.16
test_200r_3200c_0.05d_instance_91,0.47,0.18,0.45,0.38
test_200r_3200c_0.25d_instance_147,0.33,0.15,0.34,0.27
test_200r_3200c_0.25d_instance_150,0.3,0.12,0.12,0.26
test_200r_3200c_0.25d_instance_179,0.35,0.13,0.25,0.28
test_200r_3200c_0.25d_instance_190,0.33,0.19,0.35,0.26
test_200r_3200c_0.25d_instance_204,0.26,0.12,0.13,0.25
test_200r_3200c_0.25d_instance_215,0.15,0.11,0.2,0.17
test_200r_3200c_0.25d_instance_240,0.23,0.11,0.2,0.19
test_200r_3200c_0.25d_instance_241,0.22,0.1,0.13,0.23
test_200r_3200c_0.25d_instance_242,0.31,0.14,0.29,0.29
test_200r_3200c_0.25d_instance_247,0.36,0.15,0.32,0.31
test_200r_3200c_0.25d_instance_296,0.17,0.08,0.06,0.16
test_200r_3200c_0.25d_instance_318,0.43,0.15,0.33,0.31
test_200r_3200c_0.25d_instance_339,0.2,0.11,0.19,0.17
test_200r_3200c_0.25d_instance_359,0.4,0.14,0.31,0.33
test_200r_3200c_0.25d_instance_364,0.3,0.11,0.18,0.25
test_200r_3200c_0.25d_instance_438,0.18,0.09,0.19,0.17
test_200r_3200c_0.25d_instance_5,0.3,0.13,0.18,0.26
test_200r_3200c_0.25d_instance_67,0.36,0.13,0.28,0.3
test_200r_3200c_0.25d_instance_68,0.28,0.12,0.23,0.26
test_200r_400c_0.01d_instance_158,0.0,0.0,0.0,0.0
test_200r_400c_0.01d_instance_201,0.01,0.01,0.01,0.01
test_200r_400c_0.01d_instance_412,0.01,0.01,0.01,0.01
test_200r_400c_0.01d_instance_49,0.01,0.01,0.01,0.01
test_200r_400c_0.01d_instance_76,0.02,0.05,0.05,0.02
test_200r_400c_0.01d_instance_96,0.01,0.01,0.01,0.01
test_200r_400c_0.05d_instance_100,0.3,0.14,0.38,0.29
test_200r_400c_0.05d_instance_101,0.15,0.08,0.13,0.15
test_200r_400c_0.05d_instance_141,0.19,0.12,0.25,0.16
test_200r_400c_0.05d_instance_193,0.32,0.19,0.35,0.18
test_200r_400c_0.05d_instance_217,0.43,0.14,0.26,0.34
test_200r_400c_0.05d_instance_234,0.03,0.03,0.03,0.03
test_200r_400c_0.05d_instance_282,0.46,0.18,0.41,0.44
test_200r_400c_0.05d_instance_368,0.23,0.09,0.1,0.22
test_200r_400c_0.05d_instance_465,0.21,0.09,0.09,0.21
test_200r_400c_0.05d_instance_470,0.26,0.11,0.28,0.25
test_200r_400c_0.05d_instance_484,0.23,0.09,0.1,0.24
test_200r_400c_0.05d_instance_485,0.38,0.12,0.23,0.24
test_200r_400c_0.25d_instance_150,0.41,0.16,0.43,0.43
test_200r_400c_0.25d_instance_192,0.23,0.09,0.16,0.23
test_200r_400c_0.25d_instance_210,0.16,0.08,0.06,0.16
test_200r_400c_0.25d_instance_239,0.35,0.12,0.37,0.29
test_200r_400c_0.25d_instance_257,0.27,0.16,0.13,0.22
test_200r_400c_0.25d_instance_296,0.29,0.11,0.12,0.27
test_200r_400c_0.25d_instance_368,0.23,0.09,0.12,0.18
test_200r_400c_0.25d_instance_406,0.15,0.07,0.07,0.16
test_200r_400c_0.25d_instance_422,0.09,0.09,0.09,0.07
test_200r_400c_0.25d_instance_484,0.24,0.1,0.12,0.2
test_200r_6400c_0.01d_instance_109,0.02,0.02,0.01,0.01
test_200r_6400c_0.01d_instance_240,0.01,0.02,0.01,0.02
test_200r_6400c_0.01d_instance_386,0.02,0.02,0.02,0.01
test_200r_6400c_0.01d_instance_398,0.02,0.02,0.02,0.02
test_200r_6400c_0.01d_instance_430,0.02,0.02,0.02,0.02
test_200r_6400c_0.01d_instance_74,0.01,0.01,0.01,0.01
test_200r_6400c_0.05d_instance_172,0.46,0.18,0.38,0.28
test_200r_6400c_0.05d_instance_23,0.52,0.17,0.47,0.35
test_200r_6400c_0.05d_instance_285,0.49,0.24,0.37,0.31
test_200r_6400c_0.05d_instance_31,0.3,0.16,0.1,0.32
test_200r_6400c_0.05d_instance_348,0.24,0.12,0.1,0.15
test_200r_6400c_0.05d_instance_452,0.26,0.09,0.44,0.27
