File Name,MipLogLevel-2,SubMipHeurLevel-0,SubMipHeurLevel-1,RootCutLevel-0
train_1600r_400c_0.01d_instance_377,0.04,0.05,0.06,0.04
train_1600r_400c_0.01d_instance_397,0.06,0.06,0.06,0.06
train_1600r_400c_0.01d_instance_45,0.06,0.06,0.06,0.06
train_1600r_400c_0.01d_instance_494,0.06,0.06,0.06,0.06
train_1600r_400c_0.01d_instance_577,0.06,0.06,0.06,0.06
train_1600r_400c_0.01d_instance_611,0.06,0.06,0.06,0.06
train_1600r_400c_0.01d_instance_64,0.05,0.05,0.06,0.04
train_1600r_400c_0.01d_instance_697,0.04,0.04,0.04,0.04
train_1600r_400c_0.01d_instance_725,0.05,0.05,0.05,0.05
train_1600r_400c_0.01d_instance_73,0.06,0.06,0.06,0.06
train_1600r_400c_0.01d_instance_745,0.07,0.08,0.08,0.08
train_1600r_400c_0.01d_instance_795,0.05,0.05,0.05,0.05
train_1600r_400c_0.01d_instance_80,0.06,0.06,0.06,0.06
train_1600r_400c_0.01d_instance_811,0.06,0.06,0.06,0.05
train_1600r_400c_0.01d_instance_877,0.06,0.06,0.06,0.06
train_1600r_400c_0.01d_instance_911,0.04,0.05,0.05,0.05
train_1600r_400c_0.05d_instance_1,30.82,20.82,26.35,28.27
train_1600r_400c_0.05d_instance_1001,1.88,0.48,1.06,1.87
train_1600r_400c_0.05d_instance_1039,180.0,180.0,180.0,180.0
train_1600r_400c_0.05d_instance_1092,43.05,31.83,39.7,40.05
train_1600r_400c_0.05d_instance_1099,21.38,16.59,21.76,26.52
train_1600r_400c_0.05d_instance_1107,2.93,1.15,2.05,2.4
train_1600r_400c_0.05d_instance_1122,30.54,16.95,20.94,27.62
train_1600r_400c_0.05d_instance_1186,8.89,4.47,6.47,8.1
train_1600r_400c_0.05d_instance_123,5.71,2.54,5.1,5.39
train_1600r_400c_0.05d_instance_1287,180.0,173.12,179.02,180.0
train_1600r_400c_0.05d_instance_1308,1.51,0.29,0.81,1.17
train_1600r_400c_0.05d_instance_131,25.16,17.0,22.32,24.69
train_1600r_400c_0.05d_instance_1328,29.19,18.97,19.55,28.95
train_1600r_400c_0.05d_instance_1476,180.0,180.0,180.0,180.0
train_1600r_400c_0.05d_instance_1490,42.08,28.83,36.59,39.83
train_1600r_400c_0.05d_instance_1503,72.5,54.06,63.92,68.06
train_1600r_400c_0.05d_instance_151,27.66,21.12,28.03,28.05
train_1600r_400c_0.05d_instance_1522,9.39,5.43,6.31,7.96
train_1600r_400c_0.05d_instance_1589,32.97,21.25,26.71,31.19
train_1600r_400c_0.05d_instance_1614,15.37,7.82,10.44,11.37
train_1600r_400c_0.05d_instance_1645,42.7,32.01,38.04,42.98
train_1600r_400c_0.05d_instance_1725,87.3,63.18,69.93,80.05
train_1600r_400c_0.05d_instance_1764,4.67,1.93,2.78,5.14
train_1600r_400c_0.05d_instance_1777,14.98,5.02,7.98,10.3
train_1600r_400c_0.05d_instance_1782,11.25,7.78,9.31,9.83
train_1600r_400c_0.05d_instance_1847,9.75,5.41,7.12,8.57
train_1600r_400c_0.05d_instance_1893,60.01,42.83,49.19,56.59
train_1600r_400c_0.05d_instance_1940,17.5,6.9,10.96,17.83
train_1600r_400c_0.05d_instance_198,20.99,9.02,12.19,18.85
train_1600r_400c_0.05d_instance_215,47.82,35.05,41.77,45.48
train_1600r_400c_0.05d_instance_221,10.23,8.94,8.8,8.97
train_1600r_400c_0.05d_instance_308,5.77,2.82,4.91,5.03
train_1600r_400c_0.05d_instance_358,1.85,0.51,1.15,1.42
train_1600r_400c_0.05d_instance_449,28.59,19.89,26.17,29.57
train_1600r_400c_0.05d_instance_477,152.54,131.76,145.79,151.62
train_1600r_400c_0.05d_instance_532,38.53,24.76,31.04,40.84
train_1600r_400c_0.05d_instance_546,25.43,17.89,21.5,24.95
train_1600r_400c_0.05d_instance_554,23.82,12.26,19.47,22.02
train_1600r_400c_0.05d_instance_619,16.66,8.26,12.32,15.89
train_1600r_400c_0.05d_instance_687,3.28,1.66,2.11,3.03
train_1600r_400c_0.05d_instance_741,31.79,19.19,26.69,27.6
train_1600r_400c_0.05d_instance_785,7.9,2.97,5.92,7.25
train_1600r_400c_0.05d_instance_836,46.49,30.45,36.74,47.07
train_1600r_400c_0.05d_instance_856,22.99,11.24,20.2,23.38
train_1600r_400c_0.05d_instance_861,57.13,41.91,50.31,57.56
train_1600r_400c_0.05d_instance_961,8.25,3.42,6.17,7.22
train_1600r_400c_0.25d_instance_1084,1.33,0.64,1.06,1.13
train_1600r_400c_0.25d_instance_1095,1.49,0.71,1.39,1.49
train_1600r_400c_0.25d_instance_1272,1.4,0.6,0.81,1.14
train_1600r_400c_0.25d_instance_1280,3.09,1.14,2.42,3.06
train_1600r_400c_0.25d_instance_1290,1.28,0.59,1.16,1.14
train_1600r_400c_0.25d_instance_1303,1.21,0.71,1.33,1.2
train_1600r_400c_0.25d_instance_1311,4.4,1.85,3.83,4.32
train_1600r_400c_0.25d_instance_1334,1.88,0.76,1.72,1.87
train_1600r_400c_0.25d_instance_135,1.53,0.93,1.36,1.5
train_1600r_400c_0.25d_instance_1395,1.42,0.69,1.3,1.26
train_1600r_400c_0.25d_instance_1434,1.74,0.75,1.53,1.7
train_1600r_400c_0.25d_instance_1452,2.2,0.98,1.73,2.14
train_1600r_400c_0.25d_instance_1485,1.41,0.75,1.44,1.44
train_1600r_400c_0.25d_instance_1503,1.32,0.71,1.05,1.29
train_1600r_400c_0.25d_instance_1547,2.66,0.91,1.95,2.59
train_1600r_400c_0.25d_instance_156,1.59,0.8,1.43,1.6
train_1600r_400c_0.25d_instance_160,1.14,0.59,1.19,0.9
train_1600r_400c_0.25d_instance_1621,3.32,1.05,2.09,3.26
train_1600r_400c_0.25d_instance_165,2.54,1.04,1.82,2.4
train_1600r_400c_0.25d_instance_173,1.24,0.58,0.78,1.02
train_1600r_400c_0.25d_instance_1770,1.26,0.66,1.19,1.17
train_1600r_400c_0.25d_instance_1782,1.78,0.72,1.25,1.75
train_1600r_400c_0.25d_instance_1823,1.5,0.69,1.33,1.27
train_1600r_400c_0.25d_instance_1866,1.84,0.96,1.77,1.8
train_1600r_400c_0.25d_instance_190,2.66,0.87,1.83,2.58
train_1600r_400c_0.25d_instance_204,0.87,0.53,0.63,0.87
train_1600r_400c_0.25d_instance_209,2.19,0.81,1.63,2.16
train_1600r_400c_0.25d_instance_210,1.19,0.73,1.16,1.09
train_1600r_400c_0.25d_instance_219,1.27,0.71,1.05,1.17
train_1600r_400c_0.25d_instance_236,1.92,0.88,1.57,1.97
train_1600r_400c_0.25d_instance_237,2.24,0.84,1.57,2.25
train_1600r_400c_0.25d_instance_241,1.59,0.75,1.6,1.57
train_1600r_400c_0.25d_instance_246,1.02,0.64,0.9,0.82
train_1600r_400c_0.25d_instance_306,2.2,0.76,1.81,2.2
train_1600r_400c_0.25d_instance_384,1.75,0.72,1.62,1.72
train_1600r_400c_0.25d_instance_402,1.8,0.78,1.48,1.74
train_1600r_400c_0.25d_instance_411,1.18,0.66,0.99,1.16
train_1600r_400c_0.25d_instance_438,2.2,0.9,2.09,2.36
train_1600r_400c_0.25d_instance_525,1.25,0.66,1.19,1.08
train_1600r_400c_0.25d_instance_562,3.1,1.07,2.72,3.11
train_1600r_400c_0.25d_instance_605,2.15,0.88,1.5,2.13
train_1600r_400c_0.25d_instance_623,1.1,0.62,1.06,1.05
train_1600r_400c_0.25d_instance_631,1.32,0.66,1.13,1.16
train_1600r_400c_0.25d_instance_635,1.94,0.95,1.56,1.93
train_1600r_400c_0.25d_instance_663,2.75,1.03,2.18,2.85
train_1600r_400c_0.25d_instance_715,2.81,0.84,2.34,2.71
train_1600r_400c_0.25d_instance_751,1.98,0.74,1.64,1.87
train_1600r_400c_0.25d_instance_786,1.32,0.57,1.01,0.84
train_1600r_400c_0.25d_instance_822,1.09,0.62,1.09,1.16
train_1600r_400c_0.25d_instance_829,2.22,0.86,1.88,2.08
train_1600r_400c_0.25d_instance_838,0.75,0.52,0.71,0.75
train_1600r_400c_0.25d_instance_855,1.48,0.69,1.43,1.38
train_1600r_400c_0.25d_instance_866,2.83,1.18,2.27,2.77
train_1600r_400c_0.25d_instance_904,4.1,1.28,2.54,4.01
train_1600r_400c_0.25d_instance_933,1.63,0.75,1.47,1.5
train_1600r_400c_0.25d_instance_966,2.59,0.92,1.84,2.53
train_1600r_400c_0.25d_instance_977,1.03,0.68,0.88,0.76
train_1600r_800c_0.01d_instance_103,14.62,8.78,11.61,19.41
train_1600r_800c_0.01d_instance_1047,16.9,8.88,12.6,18.31
train_1600r_800c_0.01d_instance_1051,65.78,51.24,57.14,54.43
train_1600r_800c_0.01d_instance_106,124.27,92.27,106.47,73.63
train_1600r_800c_0.01d_instance_1091,5.16,2.46,3.92,4.55
train_1600r_800c_0.01d_instance_1117,25.92,12.97,18.02,25.32
train_1600r_800c_0.01d_instance_12,45.06,32.51,43.26,37.25
train_1600r_800c_0.01d_instance_1218,77.81,52.63,58.99,61.05
train_1600r_800c_0.01d_instance_1380,180.0,180.0,147.89,176.4
train_1600r_800c_0.01d_instance_1395,47.86,32.0,24.84,42.51
train_1600r_800c_0.01d_instance_1408,22.78,12.67,15.65,23.4
train_1600r_800c_0.01d_instance_1475,48.66,32.85,44.12,40.33
train_1600r_800c_0.01d_instance_1481,18.98,13.34,14.8,16.47
train_1600r_800c_0.01d_instance_1490,0.24,0.3,0.23,0.21
train_1600r_800c_0.01d_instance_1502,6.65,3.26,4.89,20.91
train_1600r_800c_0.01d_instance_1581,135.5,105.06,134.87,105.8
train_1600r_800c_0.01d_instance_1586,180.0,180.0,180.0,180.0
train_1600r_800c_0.01d_instance_1605,180.0,180.0,180.0,180.0
train_1600r_800c_0.01d_instance_164,15.56,8.87,11.98,14.57
train_1600r_800c_0.01d_instance_1676,12.55,6.86,10.31,11.19
train_1600r_800c_0.01d_instance_1694,180.0,180.0,174.47,180.0
train_1600r_800c_0.01d_instance_1710,55.0,33.01,41.3,37.73
train_1600r_800c_0.01d_instance_1716,114.73,89.03,99.23,85.32
train_1600r_800c_0.01d_instance_1789,180.0,172.04,180.0,180.0
train_1600r_800c_0.01d_instance_18,106.68,81.2,98.13,82.45
train_1600r_800c_0.01d_instance_1875,57.31,42.18,53.75,46.65
train_1600r_800c_0.01d_instance_1916,53.18,40.14,48.57,52.96
train_1600r_800c_0.01d_instance_1949,140.11,98.3,120.22,159.15
train_1600r_800c_0.01d_instance_1993,18.95,10.98,15.81,14.22
train_1600r_800c_0.01d_instance_257,112.91,97.86,121.67,97.6
train_1600r_800c_0.01d_instance_273,50.02,37.03,42.64,49.86
train_1600r_800c_0.01d_instance_364,4.28,2.25,2.94,5.25
train_1600r_800c_0.01d_instance_369,51.78,30.44,42.68,37.99
train_1600r_800c_0.01d_instance_398,121.32,90.84,104.41,91.86
train_1600r_800c_0.01d_instance_44,20.04,10.6,16.9,12.43
train_1600r_800c_0.01d_instance_458,16.66,8.85,11.91,13.17
train_1600r_800c_0.01d_instance_518,0.69,0.63,0.72,0.65
train_1600r_800c_0.01d_instance_519,98.72,80.27,92.89,80.1
train_1600r_800c_0.01d_instance_578,16.19,10.81,14.72,13.41
train_1600r_800c_0.01d_instance_602,17.57,9.74,14.04,13.08
train_1600r_800c_0.01d_instance_611,20.18,10.94,14.75,19.24
train_1600r_800c_0.01d_instance_640,21.03,12.23,17.97,21.62
train_1600r_800c_0.01d_instance_685,180.0,180.0,180.0,180.0
train_1600r_800c_0.01d_instance_690,23.05,13.74,18.07,16.78
train_1600r_800c_0.01d_instance_76,18.92,6.56,8.62,12.96
train_1600r_800c_0.01d_instance_768,104.02,89.1,100.04,107.46
train_1600r_800c_0.01d_instance_941,42.56,20.44,29.75,30.26
train_1600r_800c_0.05d_instance_1005,21.8,9.71,18.38,20.86
train_1600r_800c_0.05d_instance_1027,19.11,9.28,16.22,13.29
train_1600r_800c_0.05d_instance_1038,43.14,35.28,47.7,43.24
train_1600r_800c_0.05d_instance_1057,129.52,114.84,130.0,101.82
train_1600r_800c_0.05d_instance_1063,8.7,5.03,7.58,8.71
train_1600r_800c_0.05d_instance_1077,23.9,9.49,20.91,23.84
train_1600r_800c_0.05d_instance_1080,137.51,128.59,149.92,158.54
train_1600r_800c_0.05d_instance_1087,17.92,9.57,20.4,19.78
train_1600r_800c_0.05d_instance_1166,17.18,7.13,10.91,11.17
train_1600r_800c_0.05d_instance_1168,10.72,4.62,10.39,9.17
train_1600r_800c_0.05d_instance_1191,16.05,10.27,12.02,12.44
train_1600r_800c_0.05d_instance_1305,11.85,6.63,11.01,12.49
train_1600r_800c_0.05d_instance_1396,36.59,26.22,30.67,37.21
train_1600r_800c_0.05d_instance_1425,36.32,25.25,31.47,31.75
train_1600r_800c_0.05d_instance_1455,63.8,53.01,62.04,64.94
train_1600r_800c_0.05d_instance_150,43.97,30.73,36.04,38.86
train_1600r_800c_0.05d_instance_1549,52.6,49.78,52.15,53.74
train_1600r_800c_0.05d_instance_1589,29.94,21.41,30.94,29.43
train_1600r_800c_0.05d_instance_1591,58.8,44.24,53.69,53.43
train_1600r_800c_0.05d_instance_1667,39.1,23.41,29.39,33.69
train_1600r_800c_0.05d_instance_1681,54.01,40.94,41.99,45.15
train_1600r_800c_0.05d_instance_1696,69.43,48.95,59.99,61.65
train_1600r_800c_0.05d_instance_1741,139.91,130.52,117.21,137.65
train_1600r_800c_0.05d_instance_1751,12.54,7.22,10.54,12.05
train_1600r_800c_0.05d_instance_1775,12.82,7.14,12.12,12.69
train_1600r_800c_0.05d_instance_1826,13.81,8.01,11.21,13.46
train_1600r_800c_0.05d_instance_1839,9.04,5.35,8.44,9.1
train_1600r_800c_0.05d_instance_1840,180.0,180.0,180.0,180.0
train_1600r_800c_0.05d_instance_1841,180.0,155.64,171.32,143.8
train_1600r_800c_0.05d_instance_1880,5.67,2.3,7.33,6.25
train_1600r_800c_0.05d_instance_1898,36.01,24.03,31.5,34.22
train_1600r_800c_0.05d_instance_1925,46.32,41.58,45.49,37.46
train_1600r_800c_0.05d_instance_1977,23.43,9.53,13.47,13.39
train_1600r_800c_0.05d_instance_1997,56.14,42.86,49.75,55.83
train_1600r_800c_0.05d_instance_299,5.73,2.98,5.7,5.45
train_1600r_800c_0.05d_instance_324,5.94,2.83,3.14,3.92
train_1600r_800c_0.05d_instance_329,21.97,17.12,23.01,20.63
train_1600r_800c_0.05d_instance_33,29.94,21.31,26.97,24.1
train_1600r_800c_0.05d_instance_352,73.82,57.34,65.05,67.17
train_1600r_800c_0.05d_instance_369,36.61,27.25,30.29,29.32
train_1600r_800c_0.05d_instance_406,60.24,50.93,51.9,56.88
train_1600r_800c_0.05d_instance_466,22.25,9.49,20.08,20.44
train_1600r_800c_0.05d_instance_471,80.49,66.21,77.63,87.19
train_1600r_800c_0.05d_instance_477,50.24,38.13,47.42,48.65
train_1600r_800c_0.05d_instance_601,21.88,8.85,19.52,20.94
train_1600r_800c_0.05d_instance_686,21.3,15.39,20.58,20.57
train_1600r_800c_0.05d_instance_710,71.12,58.3,65.59,67.59
train_1600r_800c_0.05d_instance_735,30.91,10.92,24.11,30.27
train_1600r_800c_0.05d_instance_788,22.0,9.03,19.12,19.79
train_1600r_800c_0.05d_instance_815,38.97,31.51,36.13,33.97
train_1600r_800c_0.05d_instance_870,180.0,180.0,180.0,180.0
train_1600r_800c_0.05d_instance_9,11.65,6.54,10.48,10.49
train_1600r_800c_0.05d_instance_948,45.85,35.09,42.58,45.45
train_1600r_800c_0.05d_instance_967,180.0,180.0,180.0,180.0
train_1600r_800c_0.25d_instance_100,4.21,2.6,3.88,4.09
train_1600r_800c_0.25d_instance_1030,2.23,2.24,2.19,2.25
train_1600r_800c_0.25d_instance_1050,3.76,2.76,3.32,3.52
train_1600r_800c_0.25d_instance_1058,3.34,1.99,2.98,3.44
train_1600r_800c_0.25d_instance_1089,5.06,2.64,3.73,5.12
train_1600r_800c_0.25d_instance_113,3.98,2.25,2.96,3.89
train_1600r_800c_0.25d_instance_1168,3.25,2.54,2.85,3.0
train_1600r_800c_0.25d_instance_1169,5.02,3.35,4.17,4.88
train_1600r_800c_0.25d_instance_1176,3.59,2.49,3.22,3.54
train_1600r_800c_0.25d_instance_1281,5.56,3.19,3.82,5.41
train_1600r_800c_0.25d_instance_1294,3.46,2.42,2.81,3.3
train_1600r_800c_0.25d_instance_1329,6.79,4.09,7.83,6.79
train_1600r_800c_0.25d_instance_135,2.69,2.19,2.26,2.52
train_1600r_800c_0.25d_instance_1392,5.89,3.86,5.51,5.93
train_1600r_800c_0.25d_instance_1408,1.84,1.86,1.9,1.9
train_1600r_800c_0.25d_instance_1427,5.53,2.88,4.03,5.38
train_1600r_800c_0.25d_instance_1469,3.41,2.79,3.1,3.24
train_1600r_800c_0.25d_instance_1506,3.23,2.65,3.07,3.18
train_1600r_800c_0.25d_instance_1524,3.74,2.66,3.44,3.78
train_1600r_800c_0.25d_instance_1581,5.45,3.51,4.5,5.5
train_1600r_800c_0.25d_instance_1709,5.2,2.39,3.09,4.44
train_1600r_800c_0.25d_instance_1729,3.48,2.62,3.13,3.35
train_1600r_800c_0.25d_instance_1749,4.05,2.89,3.58,3.93
train_1600r_800c_0.25d_instance_1798,3.2,2.34,2.83,2.84
train_1600r_800c_0.25d_instance_1813,12.75,8.25,11.69,13.34
train_1600r_800c_0.25d_instance_1833,5.33,3.02,3.77,5.27
train_1600r_800c_0.25d_instance_186,3.92,2.46,3.4,4.01
train_1600r_800c_0.25d_instance_1945,3.96,2.79,3.5,3.97
train_1600r_800c_0.25d_instance_1996,3.27,2.55,3.09,3.44
train_1600r_800c_0.25d_instance_237,3.18,2.74,3.08,3.07
train_1600r_800c_0.25d_instance_255,3.48,2.85,3.21,3.28
train_1600r_800c_0.25d_instance_26,3.67,2.72,3.14,3.25
train_1600r_800c_0.25d_instance_271,7.28,4.58,7.26,7.66
train_1600r_800c_0.25d_instance_296,4.91,2.44,3.29,4.77
train_1600r_800c_0.25d_instance_364,4.15,2.66,3.38,4.11
train_1600r_800c_0.25d_instance_365,4.73,2.19,3.32,4.74
train_1600r_800c_0.25d_instance_498,3.8,2.59,3.36,3.75
train_1600r_800c_0.25d_instance_514,4.05,3.44,3.6,3.71
train_1600r_800c_0.25d_instance_527,3.64,3.03,3.33,3.44
train_1600r_800c_0.25d_instance_529,3.87,2.51,3.2,3.87
train_1600r_800c_0.25d_instance_601,3.77,3.03,3.32,3.46
train_1600r_800c_0.25d_instance_613,3.7,3.17,3.43,3.67
train_1600r_800c_0.25d_instance_640,5.64,2.94,4.69,5.41
train_1600r_800c_0.25d_instance_725,3.38,2.65,3.2,3.19
train_1600r_800c_0.25d_instance_767,2.98,2.39,2.95,2.96
train_1600r_800c_0.25d_instance_831,3.39,2.93,2.97,3.13
train_1600r_800c_0.25d_instance_849,3.3,2.34,3.01,3.02
train_1600r_800c_0.25d_instance_875,5.1,2.96,3.57,5.03
train_1600r_800c_0.25d_instance_949,3.74,2.84,3.4,3.67
train_1600r_800c_0.25d_instance_962,3.58,2.77,3.08,3.42
train_1600r_800c_0.25d_instance_978,4.98,2.88,3.55,4.85
train_1600r_800c_0.25d_instance_985,6.96,3.88,5.54,6.76
train_200r_1600c_0.01d_instance_109,0.01,0.01,0.01,0.01
train_200r_1600c_0.01d_instance_1360,0.02,0.01,0.02,0.02
train_200r_1600c_0.01d_instance_1403,0.02,0.02,0.02,0.02
train_200r_1600c_0.01d_instance_1508,0.04,0.04,0.04,0.03
train_200r_1600c_0.01d_instance_1671,0.02,0.02,0.02,0.02
train_200r_1600c_0.01d_instance_1673,0.01,0.01,0.01,0.01
train_200r_1600c_0.01d_instance_1883,0.01,0.01,0.01,0.01
train_200r_1600c_0.01d_instance_1919,0.02,0.02,0.02,0.01
train_200r_1600c_0.01d_instance_543,0.01,0.01,0.01,0.01
train_200r_1600c_0.01d_instance_602,0.01,0.01,0.01,0.01
train_200r_1600c_0.01d_instance_632,0.01,0.01,0.01,0.01
train_200r_1600c_0.01d_instance_793,0.04,0.04,0.04,0.02
train_200r_1600c_0.01d_instance_912,0.0,0.0,0.0,0.0
train_200r_1600c_0.01d_instance_946,0.02,0.01,0.02,0.01
train_200r_1600c_0.05d_instance_1007,0.22,0.08,0.1,0.19
train_200r_1600c_0.05d_instance_105,0.16,0.09,0.12,0.15
train_200r_1600c_0.05d_instance_1054,0.24,0.09,0.11,0.24
train_200r_1600c_0.05d_instance_1136,0.49,0.15,0.3,0.27
train_200r_1600c_0.05d_instance_1161,0.22,0.09,0.12,0.21
train_200r_1600c_0.05d_instance_1182,0.21,0.13,0.24,0.15
train_200r_1600c_0.05d_instance_1189,0.25,0.09,0.15,0.25
train_200r_1600c_0.05d_instance_1207,0.23,0.08,0.07,0.21
train_200r_1600c_0.05d_instance_121,0.35,0.16,0.61,0.39
train_200r_1600c_0.05d_instance_1261,0.45,0.17,0.38,0.36
train_200r_1600c_0.05d_instance_1264,0.16,0.09,0.14,0.13
train_200r_1600c_0.05d_instance_132,0.55,0.21,0.46,0.46
train_200r_1600c_0.05d_instance_1339,0.25,0.07,0.07,0.24
train_200r_1600c_0.05d_instance_1395,0.44,0.14,0.35,0.27
train_200r_1600c_0.05d_instance_1467,0.31,0.13,0.25,0.25
train_200r_1600c_0.05d_instance_1539,0.03,0.02,0.03,0.03
train_200r_1600c_0.05d_instance_1603,0.22,0.1,0.1,0.25
train_200r_1600c_0.05d_instance_1606,0.4,0.16,0.3,0.33
train_200r_1600c_0.05d_instance_1613,0.4,0.17,0.3,0.3
train_200r_1600c_0.05d_instance_163,0.46,0.14,0.15,0.29
train_200r_1600c_0.05d_instance_1649,0.21,0.07,0.07,0.19
train_200r_1600c_0.05d_instance_166,0.32,0.16,0.34,0.23
train_200r_1600c_0.05d_instance_1712,0.29,0.17,0.38,0.29
train_200r_1600c_0.05d_instance_1806,0.37,0.13,0.34,0.29
train_200r_1600c_0.05d_instance_186,0.35,0.12,0.3,0.29
train_200r_1600c_0.05d_instance_1896,0.6,0.13,0.22,0.4
train_200r_1600c_0.05d_instance_1913,0.38,0.13,0.23,0.32
train_200r_1600c_0.05d_instance_192,0.2,0.06,0.1,0.21
train_200r_1600c_0.05d_instance_194,0.56,0.16,0.33,0.31
train_200r_1600c_0.05d_instance_1957,0.56,0.14,0.37,0.35
train_200r_1600c_0.05d_instance_1993,0.52,0.12,0.46,0.4
train_200r_1600c_0.05d_instance_226,0.03,0.03,0.02,0.03
train_200r_1600c_0.05d_instance_283,0.46,0.11,0.17,0.32
train_200r_1600c_0.05d_instance_305,0.26,0.12,0.21,0.23
train_200r_1600c_0.05d_instance_319,0.4,0.16,0.36,0.31
train_200r_1600c_0.05d_instance_377,0.49,0.15,0.38,0.38
train_200r_1600c_0.05d_instance_431,0.13,0.09,0.09,0.11
train_200r_1600c_0.05d_instance_457,0.26,0.1,0.1,0.23
train_200r_1600c_0.05d_instance_467,0.48,0.21,0.39,0.36
train_200r_1600c_0.05d_instance_497,0.24,0.13,0.24,0.22
train_200r_1600c_0.05d_instance_502,0.27,0.08,0.19,0.27
train_200r_1600c_0.05d_instance_537,0.14,0.09,0.15,0.13
train_200r_1600c_0.05d_instance_541,0.14,0.09,0.13,0.14
train_200r_1600c_0.05d_instance_614,0.22,0.08,0.13,0.22
train_200r_1600c_0.05d_instance_628,0.28,0.14,0.31,0.22
train_200r_1600c_0.05d_instance_649,0.26,0.12,0.2,0.28
train_200r_1600c_0.05d_instance_669,0.25,0.09,0.11,0.27
train_200r_1600c_0.05d_instance_682,0.3,0.08,0.12,0.25
train_200r_1600c_0.05d_instance_684,0.12,0.09,0.15,0.17
train_200r_1600c_0.05d_instance_708,0.46,0.13,0.4,0.32
train_200r_1600c_0.05d_instance_856,0.31,0.13,0.39,0.25
train_200r_1600c_0.05d_instance_864,0.03,0.02,0.03,0.03
train_200r_1600c_0.05d_instance_865,0.2,0.09,0.09,0.23
train_200r_1600c_0.05d_instance_93,0.27,0.1,0.12,0.25
train_200r_1600c_0.05d_instance_934,0.03,0.03,0.03,0.03
train_200r_1600c_0.25d_instance_1084,0.32,0.16,0.26,0.25
train_200r_1600c_0.25d_instance_1101,0.36,0.19,0.28,0.29
train_200r_1600c_0.25d_instance_114,0.42,0.15,0.33,0.31
train_200r_1600c_0.25d_instance_1162,0.29,0.12,0.18,0.29
train_200r_1600c_0.25d_instance_1182,0.24,0.17,0.23,0.21
train_200r_1600c_0.25d_instance_1190,0.27,0.16,0.38,0.24
train_200r_1600c_0.25d_instance_124,0.18,0.09,0.17,0.16
train_200r_1600c_0.25d_instance_1273,0.16,0.1,0.09,0.17
train_200r_1600c_0.25d_instance_1300,0.24,0.21,0.25,0.23
train_200r_1600c_0.25d_instance_1304,0.29,0.12,0.23,0.29
train_200r_1600c_0.25d_instance_1349,0.37,0.13,0.29,0.31
train_200r_1600c_0.25d_instance_1383,0.25,0.19,0.25,0.18
train_200r_1600c_0.25d_instance_1458,0.31,0.12,0.24,0.22
train_200r_1600c_0.25d_instance_1467,0.21,0.09,0.19,0.16
train_200r_1600c_0.25d_instance_1474,0.19,0.08,0.12,0.17
train_200r_1600c_0.25d_instance_1511,0.32,0.16,0.27,0.33
train_200r_1600c_0.25d_instance_1542,0.28,0.16,0.28,0.27
train_200r_1600c_0.25d_instance_157,0.32,0.18,0.19,0.18
train_200r_1600c_0.25d_instance_1572,0.29,0.1,0.19,0.27
train_200r_1600c_0.25d_instance_1585,0.36,0.15,0.42,0.27
train_200r_1600c_0.25d_instance_159,0.24,0.09,0.11,0.18
train_200r_1600c_0.25d_instance_1627,0.42,0.18,0.28,0.21
train_200r_1600c_0.25d_instance_1669,0.18,0.1,0.17,0.16
train_200r_1600c_0.25d_instance_1674,0.24,0.13,0.2,0.2
train_200r_1600c_0.25d_instance_1687,0.34,0.13,0.3,0.33
train_200r_1600c_0.25d_instance_172,0.31,0.09,0.14,0.25
train_200r_1600c_0.25d_instance_1738,0.05,0.08,0.08,0.05
train_200r_1600c_0.25d_instance_1746,0.33,0.1,0.1,0.26
train_200r_1600c_0.25d_instance_1755,0.32,0.07,0.12,0.26
train_200r_1600c_0.25d_instance_1759,0.29,0.08,0.19,0.26
train_200r_1600c_0.25d_instance_1771,0.15,0.05,0.05,0.14
train_200r_1600c_0.25d_instance_1826,0.18,0.09,0.1,0.17
train_200r_1600c_0.25d_instance_1860,0.23,0.11,0.11,0.21
train_200r_1600c_0.25d_instance_1862,0.43,0.15,0.31,0.29
train_200r_1600c_0.25d_instance_1905,0.24,0.13,0.11,0.28
train_200r_1600c_0.25d_instance_1936,0.29,0.09,0.1,0.31
train_200r_1600c_0.25d_instance_252,0.29,0.1,0.18,0.24
train_200r_1600c_0.25d_instance_411,0.21,0.16,0.09,0.26
train_200r_1600c_0.25d_instance_415,0.15,0.11,0.16,0.16
train_200r_1600c_0.25d_instance_469,0.21,0.1,0.1,0.17
train_200r_1600c_0.25d_instance_489,0.34,0.24,0.16,0.32
train_200r_1600c_0.25d_instance_523,0.04,0.03,0.04,0.04
train_200r_1600c_0.25d_instance_575,0.26,0.17,0.19,0.29
train_200r_1600c_0.25d_instance_682,0.18,0.11,0.18,0.21
train_200r_1600c_0.25d_instance_710,0.31,0.13,0.19,0.26
train_200r_1600c_0.25d_instance_791,0.35,0.12,0.29,0.2
train_200r_1600c_0.25d_instance_832,0.27,0.1,0.08,0.25
train_200r_1600c_0.25d_instance_852,0.28,0.1,0.11,0.24
train_200r_1600c_0.25d_instance_909,0.28,0.1,0.2,0.25
train_200r_1600c_0.25d_instance_924,0.23,0.16,0.27,0.26
train_200r_1600c_0.25d_instance_934,0.28,0.13,0.26,0.21
train_200r_1600c_0.25d_instance_972,0.16,0.09,0.21,0.19
