File Name,default,TreeCutLevel-1,RootCutLevel-1,TreeCutLevel-0
test_5821.proto,2.11,1.87,2.01,2.05
test_584.proto,0.17,0.19,0.2,0.18
test_5880.proto,0.8,0.93,0.67,0.74
test_5955.proto,0.31,0.32,0.33,0.32
test_5962.proto,1.86,1.28,2.37,1.93
test_5982.proto,2.36,3.28,3.51,2.32
test_6015.proto,1.95,1.26,1.66,1.91
test_6018.proto,6.3,5.27,5.38,5.15
test_6035.proto,76.88,37.95,180.03,21.85
test_604.proto,7.58,8.37,5.55,5.34
test_6042.proto,14.94,21.25,13.97,9.71
test_6043.proto,2.71,5.04,2.94,2.95
test_6079.proto,3.29,2.25,3.22,3.26
test_6090.proto,3.75,2.98,3.08,3.7
test_6095.proto,7.75,7.86,6.43,7.43
test_6139.proto,3.65,3.6,6.91,3.63
test_614.proto,2.73,2.44,2.68,2.44
test_6157.proto,4.42,6.07,9.73,4.42
test_6194.proto,10.03,20.48,11.64,8.6
test_6227.proto,3.49,13.32,9.16,3.46
test_633.proto,3.36,2.75,3.53,3.32
test_6359.proto,3.36,3.47,3.11,3.49
test_64.proto,8.55,12.36,12.03,12.14
test_6406.proto,2.14,2.09,2.12,2.23
test_6420.proto,1.05,0.97,1.01,1.04
test_6512.proto,1.82,1.94,9.56,1.8
test_6542.proto,180.02,180.04,180.02,180.01
test_6597.proto,180.07,180.0,180.0,180.01
test_66.proto,2.23,5.77,3.56,2.3
test_6602.proto,37.42,48.68,180.01,56.38
test_6621.proto,11.3,5.98,6.62,11.19
test_6664.proto,4.23,3.95,3.23,4.52
test_6676.proto,6.37,5.36,8.77,6.55
test_6691.proto,7.17,3.03,2.69,6.22
test_6728.proto,1.68,1.68,1.58,1.8
test_6736.proto,2.55,8.17,2.27,2.62
test_6745.proto,1.37,1.49,1.86,1.44
test_6761.proto,1.4,1.36,1.4,1.43
test_6784.proto,7.77,2.96,7.08,5.89
test_6813.proto,8.85,7.39,10.95,4.94
test_6837.proto,3.05,3.9,2.6,3.23
test_6854.proto,23.13,14.07,14.25,17.53
test_6864.proto,2.1,2.31,2.31,2.0
test_6885.proto,0.21,0.21,0.22,0.21
test_6921.proto,1.68,1.76,1.26,1.74
test_698.proto,1.77,1.8,1.65,1.59
test_704.proto,3.65,5.77,2.94,3.68
test_7056.proto,12.71,16.64,10.96,8.59
test_7059.proto,6.48,8.61,13.97,6.37
test_7100.proto,13.37,17.03,9.31,12.82
test_7120.proto,2.92,8.48,5.94,2.58
test_7185.proto,4.92,6.1,5.13,8.78
test_7196.proto,2.32,1.94,1.91,2.23
test_7211.proto,1.94,1.75,2.07,2.02
