File Name,default,TreeCutLevel1,RootCutLevel1,RoundingHeurLevel1,StrongBranching1,SubmipHeurLevel1,DivingHeurLevel1
rc106.30.20,5.03,5.45,4.46,5.0,4.97,5.4,4.94
rc106.30.25,9.21,9.25,4.17,9.45,9.39,9.27,7.93
rc106.30.3,0.22,0.24,0.22,0.21,0.24,0.22,0.23
rc106.30.5,300.0,56.24,300.0,300.01,300.01,60.44,300.01
rc106.40.3,0.38,0.38,0.36,0.38,0.37,0.35,0.37
rc106.40.5,300.0,300.0,300.02,300.01,300.01,300.0,300.01
rc106.50.10,300.05,300.03,300.04,300.03,300.03,300.02,300.01
rc106.50.15,300.02,300.02,300.02,300.03,300.04,300.05,300.07
rc106.50.20,300.02,300.04,300.02,300.03,300.03,300.05,300.04
rc106.50.25,300.06,300.05,300.06,300.06,300.03,300.03,300.04
rc106.75.10,300.02,300.04,300.02,300.05,300.01,300.02,300.06
rc106.75.15,300.05,300.34,300.03,300.06,300.03,300.06,300.07
rc106.75.20,300.05,300.03,300.08,300.1,300.03,300.22,300.03
rc106.75.25,300.06,300.08,300.06,300.07,300.06,300.11,300.1
rc107.100.10,300.09,300.07,300.07,300.12,300.07,300.13,300.03
rc107.100.15,300.09,300.0,300.03,300.15,300.15,300.14,300.16
rc107.100.20,300.08,300.07,300.92,300.14,300.11,300.11,300.05
rc107.100.25,300.14,300.1,300.08,300.15,300.11,300.07,300.08
rc107.25.3,28.68,15.69,35.43,29.01,21.92,42.8,23.7
rc107.25.5,99.11,19.84,61.31,100.34,102.39,12.43,21.24
rc107.30.10,300.01,300.01,300.02,300.01,300.01,300.01,300.01
rc107.30.15,300.03,300.01,300.01,300.03,300.02,300.02,300.01
rc107.30.20,300.02,218.65,300.01,300.02,300.01,300.01,248.03
rc107.30.25,12.77,12.24,13.07,12.53,12.62,12.4,14.96
rc107.30.3,0.31,0.31,0.32,0.32,0.32,0.28,0.31
rc107.30.5,237.05,300.0,300.01,236.28,300.0,141.85,300.01
rc107.40.3,0.27,0.32,0.29,0.3,0.29,0.31,0.3
rc107.40.5,300.01,300.0,300.02,300.02,300.03,300.01,300.02
rc107.50.10,300.03,300.02,300.01,300.01,300.03,300.02,300.01
rc107.50.15,300.07,300.01,300.03,300.04,300.04,300.04,300.04
rc107.50.20,300.09,300.02,300.02,300.05,300.08,300.04,300.03
rc107.50.25,300.07,300.04,300.06,300.09,300.1,300.07,300.07
rc107.75.10,300.03,300.02,300.03,300.02,300.01,300.02,300.03
rc107.75.15,300.07,300.02,300.06,300.16,300.08,300.08,300.06
rc107.75.20,300.06,300.07,300.06,300.12,300.04,300.1,300.18
rc107.75.25,300.08,300.02,300.06,300.08,300.06,300.09,300.07
rc108.100.10,300.12,300.07,300.01,300.11,300.11,300.07,300.13
rc108.100.15,300.14,300.04,300.28,300.17,300.2,300.19,300.13
rc108.100.20,300.06,300.13,300.08,300.15,300.03,300.1,300.14
rc108.100.25,300.14,300.1,300.17,300.16,300.12,300.16,300.15
rc108.25.3,53.26,18.34,142.24,54.05,62.79,10.96,147.28
rc108.25.5,14.57,9.64,41.72,14.58,11.16,108.94,15.63
rc108.30.10,300.02,244.36,300.01,300.01,300.01,300.01,300.02
rc108.30.15,300.02,300.02,300.02,300.02,300.02,300.02,300.02
rc108.30.20,300.01,300.01,43.54,300.01,300.02,300.01,300.01
rc108.30.25,3.94,4.29,3.5,3.98,4.09,3.87,3.92
rc108.30.3,0.47,0.45,0.42,0.49,0.46,0.45,0.4
rc108.30.5,300.01,300.0,300.01,300.0,300.01,300.01,300.01
rc108.40.3,0.32,0.34,0.38,0.37,0.34,0.34,0.32
rc108.40.5,300.01,300.0,300.02,300.02,300.01,300.04,300.01
rc108.50.10,300.04,300.01,300.01,300.01,300.02,300.02,300.02
rc108.50.15,300.04,300.04,300.05,300.05,300.03,300.04,300.05
rc108.50.20,300.09,300.01,300.07,300.03,300.05,300.06,300.06
rc108.50.25,300.06,300.05,300.07,300.07,300.05,300.05,300.09
rc108.75.10,300.09,300.04,300.06,300.04,300.07,300.03,300.08
rc108.75.15,300.17,300.09,300.04,300.13,300.12,300.12,300.13
rc108.75.20,300.37,300.1,300.06,300.33,300.26,300.12,300.23
rc108.75.25,300.09,300.24,300.07,300.06,300.07,300.1,300.1
rc201.100.10,300.12,300.05,300.06,300.15,300.12,300.06,300.12
rc201.100.15,300.06,300.09,300.08,300.1,300.13,300.17,300.12
rc201.100.20,300.12,300.12,300.1,300.11,300.15,300.08,300.13
rc201.100.25,300.1,300.13,300.14,300.15,300.13,300.11,300.14
rc201.25.3,0.45,0.39,0.46,0.46,0.46,0.38,0.43
rc201.25.5,1.12,1.0,0.72,1.14,1.16,0.71,1.17
rc201.30.10,2.79,2.1,3.97,2.82,2.85,2.22,2.58
rc201.30.15,6.24,4.66,6.41,6.29,6.42,6.4,4.4
rc201.30.20,7.19,5.94,11.17,7.0,7.51,8.74,8.02
rc201.30.25,6.55,6.82,6.23,6.73,6.64,5.26,6.72
rc201.30.3,0.23,0.23,0.19,0.18,0.19,0.23,0.19
rc201.30.5,1.57,1.5,2.11,1.58,1.61,1.36,1.65
rc201.40.3,0.24,0.24,0.26,0.21,0.26,0.25,0.25
rc201.40.5,14.38,15.54,51.78,14.14,35.79,43.21,12.85
rc201.50.10,170.37,190.84,300.02,170.89,292.97,249.28,243.88
rc201.50.15,300.01,247.51,300.04,300.02,300.02,300.03,300.02
rc201.50.20,101.97,300.02,300.03,100.31,62.48,136.48,182.54
rc201.50.25,300.02,300.04,300.02,300.03,300.03,42.73,300.04
rc201.75.10,300.04,300.03,300.03,300.03,300.03,300.12,300.04
rc201.75.15,300.09,300.05,300.02,300.05,300.08,300.09,300.12
rc201.75.20,300.11,300.03,300.07,300.1,300.09,300.07,300.11
rc201.75.25,300.09,300.07,300.1,300.04,300.13,300.04,300.1
rc202.100.10,300.09,300.06,300.07,300.16,300.12,300.06,300.1
rc202.100.15,300.15,300.09,300.12,300.11,300.17,300.15,300.09
rc202.100.20,300.06,300.08,300.16,300.07,300.07,300.15,300.1
rc202.100.25,300.2,300.09,300.15,300.2,300.11,300.3,300.2
rc202.25.3,5.18,4.39,7.07,5.03,5.06,7.73,4.48
rc202.25.5,6.11,3.73,7.52,5.73,5.9,3.17,5.54
rc202.30.10,103.37,69.59,300.01,104.41,300.01,98.38,207.24
rc202.30.15,300.01,300.01,300.03,300.02,300.01,300.02,300.01
rc202.30.20,300.02,297.72,300.01,300.01,300.01,300.01,240.98
rc202.30.25,13.36,17.85,13.44,13.17,13.3,12.9,16.61
rc202.30.3,0.35,0.35,0.38,0.39,0.38,0.39,0.38
rc202.30.5,30.52,50.55,107.43,31.02,21.9,31.77,30.43
rc202.40.3,0.3,0.28,0.33,0.29,0.3,0.28,0.29
rc202.40.5,300.08,300.01,300.01,300.03,300.05,300.01,300.02
rc202.50.10,300.01,300.04,300.01,300.02,300.05,300.02,300.06
rc202.50.15,300.02,300.04,300.04,300.05,300.07,300.03,300.04
rc202.50.20,300.03,300.03,300.04,300.05,300.04,300.04,300.01
rc202.50.25,300.04,300.04,300.03,300.04,300.06,300.05,300.01
rc202.75.10,300.03,300.04,300.05,300.06,300.07,300.03,300.1
rc202.75.15,300.15,300.07,300.04,300.15,300.03,300.16,300.04
rc202.75.20,300.11,300.09,300.11,300.08,300.19,300.13,300.07
rc202.75.25,300.17,300.13,300.06,300.13,300.15,300.14,300.15
rc203.100.10,300.06,300.08,300.05,300.03,300.03,300.08,300.06
rc203.100.15,300.07,300.05,300.17,300.08,300.07,300.1,300.11
rc203.100.20,300.21,300.07,300.17,300.22,300.16,300.07,300.09
rc203.100.25,300.21,300.08,300.26,300.27,300.22,300.19,300.2
