File Name,default,SubMipHeurLevel-1,StrongBranching-0,StrongBranching-1
load_balancing_1129,834.7,684.87,835.65,910.55
load_balancing_1130,652.29,625.5,659.19,820.99
load_balancing_1131,2996.14,3600.05,2423.58,2790.2
load_balancing_1134,3600.03,3600.02,3080.27,3528.6
load_balancing_1136,2328.55,2528.02,2302.69,2032.24
load_balancing_1138,3600.03,3600.03,3254.61,3600.03
load_balancing_1139,2719.42,2911.64,1828.83,2378.06
load_balancing_114,352.64,294.39,388.62,307.33
load_balancing_1141,2796.81,2305.66,1310.8,2909.94
load_balancing_1142,3513.55,2931.65,2877.86,2952.59
load_balancing_1145,490.24,515.11,467.33,493.04
load_balancing_1146,763.24,883.84,674.59,736.49
load_balancing_1147,698.21,655.11,508.16,618.25
load_balancing_1148,597.9,553.07,687.87,699.2
load_balancing_1149,1676.74,2946.46,2173.6,768.53
load_balancing_115,1638.66,2770.33,1442.5,1963.57
load_balancing_1150,211.75,170.99,251.92,210.09
load_balancing_1152,3600.03,3600.02,3566.31,3600.03
load_balancing_1153,1228.75,921.72,932.99,1223.11
load_balancing_1154,1675.99,2032.91,2078.57,1592.87
load_balancing_1156,1964.63,1955.2,1925.51,1957.02
load_balancing_1157,2257.42,2221.05,2032.94,2047.51
load_balancing_1159,584.01,421.35,1180.07,637.18
load_balancing_116,3351.53,3309.05,3233.31,3548.83
load_balancing_1160,2770.48,2551.05,3600.03,3171.39
load_balancing_1164,2655.49,2923.68,2448.81,2526.28
load_balancing_1165,625.13,628.45,565.46,631.8
load_balancing_1167,2280.5,1723.66,1337.73,2081.64
load_balancing_1168,3600.02,564.44,563.15,895.69
load_balancing_1169,467.5,431.81,420.27,475.94
load_balancing_117,1204.3,874.08,1189.31,1099.09
load_balancing_1171,1945.96,1514.33,1899.72,1381.97
load_balancing_1173,442.06,400.87,364.87,398.74
load_balancing_1174,855.96,929.6,861.71,858.43
load_balancing_1175,3055.26,2558.21,1664.21,3600.02
load_balancing_1176,953.02,1066.49,775.4,852.01
load_balancing_1177,1329.28,1425.55,3139.14,1668.82
load_balancing_118,629.19,599.52,540.1,537.37
load_balancing_1181,1412.2,1111.8,1524.07,1432.36
load_balancing_1182,224.46,202.87,334.31,220.73
load_balancing_1183,893.83,1001.07,886.99,736.49
load_balancing_1184,153.52,153.12,182.15,148.7
load_balancing_1185,3600.02,1267.55,3600.02,1273.27
load_balancing_1186,2807.6,3600.02,3158.29,2985.92
load_balancing_1187,3439.18,3600.02,2735.08,3315.14
load_balancing_1188,362.87,318.23,402.35,500.64
load_balancing_119,3600.03,3600.03,3109.53,3600.03
load_balancing_1191,657.1,833.37,582.35,659.32
load_balancing_1192,920.11,1070.41,716.58,891.44
load_balancing_1193,2049.42,2170.79,2320.52,2129.34
load_balancing_1194,3600.04,3600.03,3600.04,3436.17
load_balancing_1195,1562.15,1078.46,1395.47,1197.07
load_balancing_1197,609.56,606.55,546.45,587.34
load_balancing_1198,834.25,601.29,736.73,614.51
load_balancing_1199,254.71,230.0,360.21,258.08
load_balancing_1200,1312.42,1122.06,1023.62,1120.83
load_balancing_1201,876.03,734.0,739.67,842.41
load_balancing_1202,974.6,706.65,667.91,917.22
load_balancing_1204,3600.02,3600.04,2269.79,3600.03
load_balancing_1205,595.64,560.2,508.85,529.94
load_balancing_1206,2190.79,2137.17,1330.67,2158.09
load_balancing_1207,718.25,715.26,699.72,664.34
load_balancing_1209,330.23,307.48,326.66,319.3
load_balancing_121,3022.39,2169.25,3029.56,2251.47
load_balancing_1210,698.86,718.04,687.48,766.71
load_balancing_1212,446.92,524.96,472.45,418.34
load_balancing_1214,197.04,196.75,259.45,209.74
load_balancing_1215,930.67,718.42,696.27,678.21
load_balancing_1216,2077.93,2845.78,1800.98,1787.0
load_balancing_1217,658.07,693.67,586.39,605.17
load_balancing_1218,3600.02,3600.03,3600.03,3600.03
load_balancing_1219,1163.37,1190.95,1014.53,1148.05
load_balancing_122,2939.07,2588.37,1572.23,2678.45
load_balancing_1220,2243.53,1411.49,2263.78,2820.05
load_balancing_1221,985.51,894.87,890.95,904.54
load_balancing_1223,3269.7,3311.53,3047.18,3232.23
load_balancing_1224,607.28,647.33,540.66,580.04
load_balancing_1225,2699.26,2621.04,2553.97,2422.94
load_balancing_1226,2518.66,2589.17,2144.02,2202.68
load_balancing_1227,2052.7,3600.02,1935.09,2229.58
load_balancing_1230,1013.8,1022.66,1181.19,1114.65
load_balancing_1231,192.27,297.31,1324.77,181.71
load_balancing_1232,3600.02,3600.05,3600.03,3600.03
load_balancing_1233,1041.96,1061.82,868.28,860.44
load_balancing_1234,577.65,497.57,508.37,507.57
load_balancing_1235,1770.92,1748.49,1400.87,1661.89
load_balancing_1236,3600.05,3600.05,3370.28,3558.62
load_balancing_1237,1719.89,1547.83,1047.35,1485.68
load_balancing_1238,2133.32,1952.31,1731.1,1761.84
load_balancing_1239,1081.86,1712.56,1537.95,1032.72
load_balancing_124,2637.82,2406.56,2562.25,2764.5
load_balancing_1240,848.33,1068.35,1079.58,889.4
load_balancing_1241,3116.51,2600.49,2155.17,2871.03
load_balancing_1245,3166.19,3296.99,3092.18,3287.46
load_balancing_1246,1769.63,2371.8,2065.77,2216.07
load_balancing_1248,1824.86,1602.89,1379.83,2582.18
load_balancing_1249,861.47,727.89,1500.28,628.36
load_balancing_1251,1846.64,1634.41,1530.93,1308.25
load_balancing_1252,1071.92,657.21,770.01,2310.34
load_balancing_1253,988.74,1066.74,815.13,924.88
load_balancing_1254,891.67,1209.41,1052.92,795.11
load_balancing_1255,2779.39,2901.31,2789.7,2308.32
load_balancing_1256,3600.03,3600.04,3287.12,3600.02
load_balancing_1258,1933.49,1779.44,1107.86,1944.98
load_balancing_1259,3549.36,3600.04,3600.02,3600.03
load_balancing_126,935.79,2517.37,465.71,266.49
load_balancing_1260,599.83,446.08,551.9,530.89
load_balancing_1261,3600.03,1131.39,1177.98,400.33
load_balancing_1263,3600.03,3600.04,3600.03,3600.03
load_balancing_1264,936.97,885.27,928.46,900.06
load_balancing_1266,1203.09,937.44,922.74,1232.41
load_balancing_1267,3600.02,3600.02,3600.04,3600.02
load_balancing_1268,1709.33,2820.35,1620.09,1657.19
load_balancing_1269,665.73,587.01,556.06,602.2
load_balancing_127,2271.11,2828.98,1485.25,2419.68
load_balancing_1271,649.63,567.68,450.93,592.4
load_balancing_1274,590.59,648.72,489.07,658.06
load_balancing_1276,503.72,660.49,658.28,462.73
load_balancing_1277,411.64,364.51,421.04,974.19
load_balancing_1279,1283.44,1168.06,1128.24,1047.68
load_balancing_128,1814.24,1892.87,669.37,234.08
load_balancing_1280,109.84,107.43,132.92,132.29
load_balancing_1281,2530.05,2969.27,2459.79,2453.79
load_balancing_1282,449.37,292.86,434.13,545.79
load_balancing_1283,2116.28,2976.77,2638.54,3600.02
load_balancing_1284,209.81,269.28,281.25,298.53
load_balancing_1287,3600.03,212.13,3600.02,230.05
load_balancing_1288,619.07,607.4,532.34,626.34
load_balancing_1289,352.12,353.48,349.08,333.87
load_balancing_129,1367.03,1368.53,1221.84,1347.32
load_balancing_1290,3600.03,3600.02,3578.85,3375.72
load_balancing_1291,1013.89,722.95,650.13,345.34
load_balancing_1292,3600.03,3600.05,3600.03,3600.02
load_balancing_1293,1009.04,852.29,1197.42,841.66
load_balancing_1294,2749.37,2649.7,2641.87,2385.32
load_balancing_1296,1813.04,2691.9,1707.19,1738.71
load_balancing_1297,3037.53,2836.13,2412.02,2759.19
load_balancing_1298,1099.59,1088.86,1032.62,1184.32
load_balancing_1299,401.55,377.28,387.26,440.02
load_balancing_13,519.38,627.6,512.77,678.63
load_balancing_130,202.34,209.7,280.79,200.14
load_balancing_1300,497.52,465.26,417.75,496.24
load_balancing_1301,3600.03,3369.03,2504.21,3600.03
load_balancing_1302,2189.66,2265.98,1965.81,2038.97
load_balancing_1304,569.76,491.07,774.76,627.41
load_balancing_1305,289.05,278.0,345.0,272.53
load_balancing_1307,525.96,511.84,458.98,448.62
load_balancing_1309,239.37,410.78,379.52,225.78
load_balancing_131,701.51,513.44,427.45,600.02
load_balancing_1310,913.75,861.68,1231.64,1313.74
load_balancing_1313,310.66,281.1,339.84,302.6
load_balancing_1315,1198.38,1392.66,1062.16,1239.09
load_balancing_1316,2261.3,1690.52,1759.48,1468.48
load_balancing_1317,1106.28,1120.02,1589.03,1101.72
load_balancing_1318,3600.02,172.76,3600.01,156.18
load_balancing_1319,1347.66,761.76,1322.68,1584.14
load_balancing_132,1914.26,2166.29,1405.62,2088.99
load_balancing_1320,3600.02,3600.02,3462.26,3600.02
load_balancing_1321,1330.24,1295.99,1111.27,1541.64
load_balancing_1323,3600.03,3600.02,3600.04,3600.03
load_balancing_1324,1068.76,1052.04,908.98,1270.59
load_balancing_1325,1819.84,1236.28,2174.07,1526.11
load_balancing_1326,155.56,125.35,132.22,150.48
load_balancing_1328,3098.65,3596.38,3600.04,3600.03
load_balancing_1329,441.73,478.62,397.11,551.8
load_balancing_133,268.16,180.99,277.13,294.64
load_balancing_1332,3600.03,3600.03,3600.01,3600.02
load_balancing_1333,3111.92,3600.03,3600.03,3600.03
load_balancing_1334,1159.47,1204.48,1029.7,1104.91
load_balancing_1335,3312.3,3194.63,3035.81,3544.31
load_balancing_1336,1525.54,2650.74,1608.06,1462.27
load_balancing_1337,455.34,1705.45,449.17,1524.4
load_balancing_1338,910.69,1002.97,743.07,928.96
load_balancing_134,652.04,596.65,512.5,652.91
load_balancing_1340,699.89,543.05,603.49,581.22
load_balancing_1341,501.4,477.24,468.46,508.89
load_balancing_1343,296.65,281.21,339.05,532.51
load_balancing_1344,3600.03,3600.03,3531.15,3600.04
load_balancing_1345,468.59,500.04,512.84,313.97
load_balancing_1346,475.66,481.75,416.29,509.08
load_balancing_1347,405.34,403.63,1379.2,421.0
load_balancing_135,646.06,821.43,714.25,578.03
load_balancing_1350,3600.03,3146.54,3600.04,2762.26
load_balancing_1351,3027.46,3600.03,3214.04,2878.56
load_balancing_1352,1627.29,1751.37,1320.31,1425.13
load_balancing_1356,428.17,677.22,488.39,383.44
load_balancing_1357,3055.58,3600.02,2825.98,3461.41
load_balancing_1359,3600.03,3299.03,2011.64,2248.02
load_balancing_136,320.21,302.16,547.02,308.19
load_balancing_1360,3600.02,971.68,1256.38,2002.91
load_balancing_1361,1984.82,1862.97,1932.61,1980.08
load_balancing_1363,1073.73,1015.33,794.79,1228.84
load_balancing_1366,571.9,578.12,539.35,591.16
load_balancing_1367,3251.19,2692.74,2765.13,1940.84
load_balancing_1369,2196.21,2374.37,1485.4,2450.96
load_balancing_137,1009.27,1088.1,1113.21,1004.24
load_balancing_1370,1888.81,1779.62,727.53,584.68
load_balancing_1371,1515.89,1095.08,1067.24,1453.89
