File Name,default,TreeCutLevel-1,RootCutLevel-1,StrongBranching-1
test_150_8_instance_29,0.59,0.55,0.43,0.7
test_150_8_instance_338,1.07,0.62,0.69,0.97
test_150_8_instance_342,0.3,0.28,0.28,0.28
test_150_8_instance_465,0.55,0.54,0.43,0.55
test_150_8_instance_541,0.31,0.29,0.33,0.45
test_150_8_instance_600,0.85,0.58,0.8,0.8
test_150_8_instance_615,0.59,0.37,0.34,0.45
test_150_8_instance_630,0.63,0.65,0.67,0.68
test_150_8_instance_645,0.82,0.53,0.64,0.82
test_150_8_instance_705,0.61,0.42,0.36,0.56
test_150_8_instance_723,0.73,0.58,0.65,0.87
test_150_8_instance_733,0.59,0.51,0.62,0.69
test_150_8_instance_741,0.84,0.54,0.57,0.62
test_150_8_instance_751,1.1,0.63,0.75,1.1
test_150_8_instance_809,0.5,0.61,0.54,0.53
test_150_8_instance_951,0.45,0.46,0.53,0.44
test_150_8_instance_965,0.36,0.4,0.28,0.38
test_2400_2_instance_122,0.0,0.0,0.0,0.0
test_2400_2_instance_654,0.01,0.02,0.01,0.02
test_2400_4_instance_158,444.52,720.0,419.26,697.7
test_2400_4_instance_470,441.32,487.94,366.33,464.42
test_2400_4_instance_75,579.86,720.0,711.79,663.62
test_300_16_instance_17,663.99,720.0,595.87,596.33
test_300_16_instance_351,285.58,235.08,263.89,281.54
test_300_16_instance_41,323.38,342.99,337.54,305.49
test_300_16_instance_417,205.68,210.5,204.47,199.37
test_300_16_instance_572,143.08,143.99,139.96,151.8
test_300_16_instance_595,240.56,306.06,350.45,271.35
test_300_16_instance_674,271.45,295.17,280.66,250.52
test_300_16_instance_74,687.84,661.88,684.41,627.42
test_300_16_instance_741,720.0,679.7,720.0,704.73
test_300_16_instance_779,239.76,232.78,254.54,220.14
test_300_16_instance_820,304.2,371.32,428.58,288.62
test_300_16_instance_873,329.42,354.68,320.83,306.52
test_300_16_instance_892,489.66,640.68,582.13,498.26
test_300_16_instance_897,191.63,206.36,219.77,184.86
test_300_16_instance_938,408.6,432.39,349.29,414.88
test_300_16_instance_94,618.82,654.47,719.02,505.31
test_300_2_instance_266,0.0,0.0,0.0,0.0
test_300_2_instance_303,0.01,0.01,0.01,0.01
